user_id,place_id,category,activity,city,latitude,longitude
69,12,8,1,1,3.336976,118.365329
113,39,15,2,8,0.660025,118.016134
139,37,11,2,4,2.78667,114.56514
70,50,4,2,3,3.184826,117.546383
38,51,8,1,4,1.144977,118.118722
131,19,11,1,2,1.681158,117.154774
145,9,11,2,2,3.213743,119.015022
165,66,1,1,2,0.585436,117.357086
148,106,3,1,4,-0.663103,114.246984
29,102,6,2,4,1.119033,115.572768
7,112,15,1,9,-0.897722,118.295732
63,59,12,1,2,0.854605,113.947045
206,75,16,2,1,-0.153117,117.374015
25,79,5,2,8,-0.630243,115.643249
151,58,10,1,9,3.314742,118.189612
144,100,9,2,2,0.894469,117.767011
143,92,12,1,3,0.217362,114.116108
110,56,11,2,1,1.572142,118.569944
170,86,2,1,2,-0.881952,117.062608
187,106,17,1,8,2.550789,117.683518
103,74,5,2,4,2.50338,117.901297
171,77,6,2,9,3.299753,119.103977
15,35,3,2,4,3.453966,115.169916
106,8,16,2,8,2.9153,118.879327
51,100,10,2,8,1.674353,116.905231
134,21,9,2,8,-0.111123,114.458649
189,15,1,2,9,2.698414,116.030088
132,15,16,1,3,-0.466328,116.848406
224,21,14,2,8,1.871319,116.781041
194,38,4,2,8,-1.132556,115.183765
191,103,5,2,1,-1.183683,115.331624
151,34,11,2,1,2.034049,114.914845
179,55,15,1,2,1.911798,114.316254
48,16,2,1,3,2.758607,113.852979
150,72,7,1,3,1.674725,118.600771
148,96,9,2,8,3.441716,115.855069
179,69,17,1,2,2.172186,114.053202
228,21,9,1,3,-0.669198,114.073372
155,26,12,1,8,1.595604,116.293928
154,58,14,2,8,-1.163443,116.506566
58,99,8,2,2,0.026455,114.237426
193,59,11,2,1,3.397611,116.109097
122,102,15,1,8,-1.111905,117.83115
115,52,7,1,3,-0.109694,114.877174
235,108,1,1,9,2.340035,116.884949
201,114,12,2,4,2.029039,117.348908
94,93,4,1,3,0.641892,114.8234
143,59,11,1,9,2.683101,116.278328
219,63,12,1,4,-0.732374,115.435417
69,6,6,2,2,-1.098661,115.760854
157,60,18,2,1,1.844332,118.93673
232,83,5,1,2,2.293533,114.607579
11,10,7,2,1,2.655105,115.123874
50,81,17,1,2,2.008161,117.820411
205,89,1,2,8,2.994273,119.114138
185,77,18,1,4,-0.815377,118.634465
74,23,12,1,1,1.589794,118.715002
53,12,10,1,2,2.566324,117.972205
159,91,17,1,4,-0.978489,118.694076
