"address","address_obj/city","address_obj/country","address_obj/postalcode","address_obj/state","address_obj/street1","address_obj/street2","ancestors/0/abbrv","ancestors/0/location_id","ancestors/0/name","ancestors/0/subcategory/0/key","ancestors/0/subcategory/0/name","ancestors/1/abbrv","ancestors/1/location_id","ancestors/1/name","ancestors/1/subcategory/0/key","ancestors/1/subcategory/0/name","ancestors/2/abbrv","ancestors/2/location_id","ancestors/2/name","ancestors/2/subcategory/0/key","ancestors/2/subcategory/0/name","ancestors/3/abbrv","ancestors/3/location_id","ancestors/3/name","ancestors/3/subcategory/0/key","ancestors/3/subcategory/0/name","animal_welfare_tag/education_portal_url","animal_welfare_tag/learn_more_text","animal_welfare_tag/msg_body","animal_welfare_tag/msg_header","animal_welfare_tag/tag_text","api_detail_url","bearing","booking/provider","booking/url","category/key","category/name","description","distance","distance_string","doubleclick_zone","email","hours/timezone","hours/week_ranges/0/0/close_time","hours/week_ranges/0/0/open_time","hours/week_ranges/1/0/close_time","hours/week_ranges/1/0/open_time","hours/week_ranges/2/0/close_time","hours/week_ranges/2/0/open_time","hours/week_ranges/3/0/close_time","hours/week_ranges/3/0/open_time","hours/week_ranges/4/0/close_time","hours/week_ranges/4/0/open_time","hours/week_ranges/5/0/close_time","hours/week_ranges/5/0/open_time","hours/week_ranges/6/0/close_time","hours/week_ranges/6/0/open_time","image","is_candidate_for_contact_info_suppression","is_closed","is_jfy_enabled","is_long_closed","latitude","location_id","location_string","location_subtype","longitude","machine_translated","name","num_reviews","offer_group/has_see_all_url","offer_group/is_eligible_for_ap_list","offer_group/lowest_price","offer_group/offer_list/0/description","offer_group/offer_list/0/image_url","offer_group/offer_list/0/offer_type","offer_group/offer_list/0/partner","offer_group/offer_list/0/price","offer_group/offer_list/0/primary_category","offer_group/offer_list/0/product_code","offer_group/offer_list/0/rounded_up_price","offer_group/offer_list/0/title","offer_group/offer_list/0/url","open_now_text","parent_display_name","phone","photo/caption","photo/helpful_votes","photo/id","photo/images/large/height","photo/images/large/url","photo/images/large/width","photo/images/medium/height","photo/images/medium/url","photo/images/medium/width","photo/images/original/height","photo/images/original/url","photo/images/original/width","photo/images/small/height","photo/images/small/url","photo/images/small/width","photo/images/thumbnail/height","photo/images/thumbnail/url","photo/images/thumbnail/width","photo/is_blessed","photo/published_date","photo/uploaded_date","photo/user","photo/user/member_id","photo/user/type","photo/user/user_id","preferred_map_engine","ranking","ranking_category","ranking_denominator","ranking_geo","ranking_geo_id","ranking_position","ranking_subcategory","rating","raw_ranking","subcategory/0/key","subcategory/0/name","subcategory/1/key","subcategory/1/name","subcategory/2/key","subcategory/2/name","subcategory/3/key","subcategory/3/name","subcategory/4/key","subcategory/4/name","subcategory/5/key","subcategory/5/name","subcategory_ranking","subtype/0/key","subtype/0/name","subtype/1/key","subtype/1/name","subtype/2/key","subtype/2/name","subtype/3/key","subtype/3/name","subtype/4/key","subtype/4/name","subtype/5/key","subtype/5/name","subtype/6/key","subtype/6/name","tags/animal_welfare_tag/education_portal_url","tags/animal_welfare_tag/learn_more_text","tags/animal_welfare_tag/msg_body","tags/animal_welfare_tag/msg_header","tags/animal_welfare_tag/tag_text","timezone","translation_vendor","type","web_url","website","write_review"
"Perumahan Graha indah, Balikpapan Indonesia","Balikpapan","Indonesia",,,"Perumahan Graha indah",,,"317100","Balikpapan","city","City",,"2301802","East Kalimantan","province","Province",,"294227","Kalimantan","region","Region",,"294225","Indonesia","country","Country","https://www.tripadvisor.com/blog/animal-welfare-education-portal/","Learn more","Click below for expert advice on animal welfare in tourism.","This attraction features animals","Features Animals","https://api.tripadvisor.com/api/internal/1.14/location/7980737",,,,"attraction","Attraction","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/09/c3/b9/7f/mangrove-center-graha.jpg","false","false","false","false","-1.193754","7980737","Balikpapan, East Kalimantan, Kalimantan","none","116.84526",,"Mangrove Center Graha indah","49",,,,,,,,,,,,,,,"Balikpapan","+62 813-5037-1500","Mangrove","1","163821951","534","https://media-cdn.tripadvisor.com/media/photo-o/09/c3/b9/7f/mangrove-center-graha.jpg","800","367","https://media-cdn.tripadvisor.com/media/photo-s/09/c3/b9/7f/mangrove-center-graha.jpg","550","534","https://media-cdn.tripadvisor.com/media/photo-o/09/c3/b9/7f/mangrove-center-graha.jpg","800","150","https://media-cdn.tripadvisor.com/media/photo-l/09/c3/b9/7f/mangrove-center-graha.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/09/c3/b9/7f/mangrove-center-graha.jpg","50","false","2015-12-15T04:52:06-0500","2015-12-15T04:52:06-0500",,"0","user",,"default","#3 of 39 things to do in Balikpapan","attraction","39","Balikpapan","317100","3","#3 of 39 things to do in Balikpapan","4.5","3.172269582748413","57","Nature & Parks",,,,,,,,,,,"#3 of 39 things to do in Balikpapan","68","Nature & Wildlife Areas",,,,,,,,,,,,,"https://www.tripadvisor.com/blog/animal-welfare-education-portal/","Learn more","Click below for expert advice on animal welfare in tourism.","This attraction features animals","Features Animals","Asia/Makassar",,"ATTRACTION","https://www.tripadvisor.com/Attraction_Review-g317100-d7980737-Reviews-Mangrove_Center_Graha_indah-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.balitek-ksda.or.id","https://www.tripadvisor.com/UserReview-g317100-d7980737-Mangrove_Center_Graha_indah-Balikpapan_East_Kalimantan_Kalimantan.html"
"Bukit Bangkirai, Balikpapan 75271 Indonesia","Balikpapan","Indonesia","75271",,"Bukit Bangkirai",,,"317100","Balikpapan","city","City",,"2301802","East Kalimantan","province","Province",,"294227","Kalimantan","region","Region",,"294225","Indonesia","country","Country","https://www.tripadvisor.com/blog/animal-welfare-education-portal/","Learn more","Click below for expert advice on animal welfare in tourism.","This attraction features animals","Features Animals","https://api.tripadvisor.com/api/internal/1.14/location/6912361",,,,"attraction","Attraction","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/06/47/6d/77/bangkirai-hill-nature.jpg","false","false","false","false","-1.02911","6912361","Balikpapan, East Kalimantan, Kalimantan","none","116.86728",,"Bangkirai Hill Nature Tourism","142",,,,,,,,,,,,,,,"Balikpapan","+62 813-5499-9386","the canopy bridge","8","105344375","467","https://media-cdn.tripadvisor.com/media/photo-o/06/47/6d/77/bangkirai-hill-nature.jpg","700","366","https://media-cdn.tripadvisor.com/media/photo-s/06/47/6d/77/bangkirai-hill-nature.jpg","550","467","https://media-cdn.tripadvisor.com/media/photo-o/06/47/6d/77/bangkirai-hill-nature.jpg","700","150","https://media-cdn.tripadvisor.com/media/photo-l/06/47/6d/77/bangkirai-hill-nature.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/06/47/6d/77/bangkirai-hill-nature.jpg","50","true","2014-07-31T06:24:24-0400","2014-07-30T01:34:01-0400",,"0","user",,"default","#1 of 39 things to do in Balikpapan","attraction","39","Balikpapan","317100","1","#1 of 39 things to do in Balikpapan","4.0","3.4426870346069336","47","Sights & Landmarks","57","Nature & Parks",,,,,,,,,"#1 of 39 things to do in Balikpapan","163","Points of Interest & Landmarks","5","Bridges","68","Nature & Wildlife Areas",,,,,,,,,"https://www.tripadvisor.com/blog/animal-welfare-education-portal/","Learn more","Click below for expert advice on animal welfare in tourism.","This attraction features animals","Features Animals","Asia/Makassar",,"ATTRACTION","https://www.tripadvisor.com/Attraction_Review-g317100-d6912361-Reviews-Bangkirai_Hill_Nature_Tourism-Balikpapan_East_Kalimantan_Kalimantan.html",,"https://www.tripadvisor.com/UserReview-g317100-d6912361-Bangkirai_Hill_Nature_Tourism-Balikpapan_East_Kalimantan_Kalimantan.html"
"Jl. MT. Haryono, Balikpapan 76126 Indonesia","Balikpapan","Indonesia","76126",,"Jl. MT. Haryono",,,"317100","Balikpapan","city","City",,"2301802","East Kalimantan","province","Province",,"294227","Kalimantan","region","Region",,"294225","Indonesia","country","Country",,,,,,"https://api.tripadvisor.com/api/internal/1.14/location/10112099",,,,"attraction","Attraction","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/0a/ef/31/9a/various-joy-rides-and.jpg","false","false","false","false","-1.25746","10112099","Balikpapan, East Kalimantan, Kalimantan","none","116.86833",,"Transmart Carrefour","23",,,,,,,,,,,,,,,"Balikpapan",,"Various joy rides and play station games for children","3","183447962","413","https://media-cdn.tripadvisor.com/media/photo-s/0a/ef/31/9a/various-joy-rides-and.jpg","550","188","https://media-cdn.tripadvisor.com/media/photo-f/0a/ef/31/9a/various-joy-rides-and.jpg","250","1536","https://media-cdn.tripadvisor.com/media/photo-o/0a/ef/31/9a/various-joy-rides-and.jpg","2048","150","https://media-cdn.tripadvisor.com/media/photo-l/0a/ef/31/9a/various-joy-rides-and.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/0a/ef/31/9a/various-joy-rides-and.jpg","50","true","2016-04-28T11:53:22-0400","2016-04-17T23:51:24-0400",,"0","user",,"default","#10 of 39 things to do in Balikpapan","attraction","39","Balikpapan","317100","10","#10 of 39 things to do in Balikpapan","4.0","2.902296304702759","26","Shopping",,,,,,,,,,,"#10 of 39 things to do in Balikpapan","138","Department Stores","143","Shopping Malls",,,,,,,,,,,,,,,,"Asia/Makassar",,"ATTRACTION","https://www.tripadvisor.com/Attraction_Review-g317100-d10112099-Reviews-Transmart_Carrefour-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.carrefour.co.id/shop/transmart/","https://www.tripadvisor.com/UserReview-g317100-d10112099-Transmart_Carrefour-Balikpapan_East_Kalimantan_Kalimantan.html"
"Jln. Jendral Sudirman, Balikpapan 76112 Indonesia","Balikpapan","Indonesia","76112",,"Jln. Jendral Sudirman",,,"317100","Balikpapan","city","City",,"2301802","East Kalimantan","province","Province",,"294227","Kalimantan","region","Region",,"294225","Indonesia","country","Country",,,,,,"https://api.tripadvisor.com/api/internal/1.14/location/6601179",,,,"attraction","Attraction","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/08/56/69/d7/banua-patra.jpg","false","false","false","false","-1.27139","6601179","Balikpapan, East Kalimantan, Kalimantan","none","116.85344",,"Benua Patra Beach","49",,,,,,,,,,,,,,,"Balikpapan",,"Banua Patra","3","139880919","412","https://media-cdn.tripadvisor.com/media/photo-s/08/56/69/d7/banua-patra.jpg","550","188","https://media-cdn.tripadvisor.com/media/photo-f/08/56/69/d7/banua-patra.jpg","250","1123","https://media-cdn.tripadvisor.com/media/photo-o/08/56/69/d7/banua-patra.jpg","1497","150","https://media-cdn.tripadvisor.com/media/photo-l/08/56/69/d7/banua-patra.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/08/56/69/d7/banua-patra.jpg","50","false","2015-07-14T00:24:46-0400","2015-07-11T09:36:18-0400",,"0","user",,"default","#8 of 39 things to do in Balikpapan","attraction","39","Balikpapan","317100","8","#8 of 39 things to do in Balikpapan","4.0","2.974364995956421","57","Nature & Parks","61","Outdoor Activities",,,,,,,,,"#8 of 39 things to do in Balikpapan","52","Beaches",,,,,,,,,,,,,,,,,,"Asia/Makassar",,"ATTRACTION","https://www.tripadvisor.com/Attraction_Review-g317100-d6601179-Reviews-Benua_Patra_Beach-Balikpapan_East_Kalimantan_Kalimantan.html",,"https://www.tripadvisor.com/UserReview-g317100-d6601179-Benua_Patra_Beach-Balikpapan_East_Kalimantan_Kalimantan.html"
"Jln. Mulawarman, Balikpapan 76115 Indonesia","Balikpapan","Indonesia","76115",,"Jln. Mulawarman",,,"317100","Balikpapan","city","City",,"2301802","East Kalimantan","province","Province",,"294227","Kalimantan","region","Region",,"294225","Indonesia","country","Country",,,,,,"https://api.tripadvisor.com/api/internal/1.14/location/6931126",,,,"attraction","Attraction","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/08/10/a8/f1/pantai-lamaru.jpg","false","false","false","false","-1.25528","6931126","Balikpapan, East Kalimantan, Kalimantan","none","116.92601",,"Lamaru Beach","126",,,,,,,,,,,,,,,"Balikpapan",,"Pantai Lamaru","1","135309553","412","https://media-cdn.tripadvisor.com/media/photo-s/08/10/a8/f1/pantai-lamaru.jpg","550","188","https://media-cdn.tripadvisor.com/media/photo-f/08/10/a8/f1/pantai-lamaru.jpg","250","1224","https://media-cdn.tripadvisor.com/media/photo-o/08/10/a8/f1/pantai-lamaru.jpg","1632","150","https://media-cdn.tripadvisor.com/media/photo-l/08/10/a8/f1/pantai-lamaru.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/08/10/a8/f1/pantai-lamaru.jpg","50","false","2015-06-09T23:50:55-0400","2015-06-09T04:13:51-0400",,"0","user",,"default","#4 of 39 things to do in Balikpapan","attraction","39","Balikpapan","317100","4","#4 of 39 things to do in Balikpapan","3.5","3.0915579795837402","57","Nature & Parks","61","Outdoor Activities",,,,,,,,,"#4 of 39 things to do in Balikpapan","52","Beaches",,,,,,,,,,,,,,,,,,"Asia/Makassar",,"ATTRACTION","https://www.tripadvisor.com/Attraction_Review-g317100-d6931126-Reviews-Lamaru_Beach-Balikpapan_East_Kalimantan_Kalimantan.html",,"https://www.tripadvisor.com/UserReview-g317100-d6931126-Lamaru_Beach-Balikpapan_East_Kalimantan_Kalimantan.html"
"Jln. Gunung Empat Belakang SMU Negeri 8, Balikpapan 76131 Indonesia","Balikpapan","Indonesia","76131",,"Jln. Gunung Empat","Belakang SMU Negeri 8",,"317100","Balikpapan","city","City",,"2301802","East Kalimantan","province","Province",,"294227","Kalimantan","region","Region",,"294225","Indonesia","country","Country",,,,,,"https://api.tripadvisor.com/api/internal/1.14/location/6491639",,,,"attraction","Attraction","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/05/ad/8b/df/hutan-mangrove-margomulyo.jpg","false","false","false","false","-1.22362","6491639","Balikpapan, East Kalimantan, Kalimantan","none","116.82412",,"Margomulyo Mangrove Forest","51",,,,,,,,,,,,,,,"Balikpapan",,"mangrove4","10","95259615","412","https://media-cdn.tripadvisor.com/media/photo-s/05/ad/8b/df/hutan-mangrove-margomulyo.jpg","550","187","https://media-cdn.tripadvisor.com/media/photo-f/05/ad/8b/df/hutan-mangrove-margomulyo.jpg","250","480","https://media-cdn.tripadvisor.com/media/photo-o/05/ad/8b/df/hutan-mangrove-margomulyo.jpg","640","150","https://media-cdn.tripadvisor.com/media/photo-l/05/ad/8b/df/hutan-mangrove-margomulyo.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/05/ad/8b/df/hutan-mangrove-margomulyo.jpg","50","true","2014-04-06T21:27:58-0400","2014-04-04T23:33:48-0400",,"0","user",,"default","#6 of 39 things to do in Balikpapan","attraction","39","Balikpapan","317100","6","#6 of 39 things to do in Balikpapan","4.0","2.986687421798706","57","Nature & Parks",,,,,,,,,,,"#6 of 39 things to do in Balikpapan","57","Forests",,,,,,,,,,,,,,,,,,"Asia/Makassar",,"ATTRACTION","https://www.tripadvisor.com/Attraction_Review-g317100-d6491639-Reviews-Margomulyo_Mangrove_Forest-Balikpapan_East_Kalimantan_Kalimantan.html",,"https://www.tripadvisor.com/UserReview-g317100-d6491639-Margomulyo_Mangrove_Forest-Balikpapan_East_Kalimantan_Kalimantan.html"
"Jln. Jendral Sudirman no. 47, Balikpapan 76114 Indonesia","Balikpapan","Indonesia","76114",,"Jln. Jendral Sudirman no. 47",,,"317100","Balikpapan","city","City",,"2301802","East Kalimantan","province","Province",,"294227","Kalimantan","region","Region",,"294225","Indonesia","country","Country",,,,,,"https://api.tripadvisor.com/api/internal/1.14/location/9859516",,,,"attraction","Attraction","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/11/8f/02/3d/20171220-200541-largejpg.jpg","false","false","false","false","-1.277344","9859516","Balikpapan, East Kalimantan, Kalimantan","none","116.83002",,"Pentacity Shopping Venue","31",,,,,,,,,,,,,,,"Balikpapan","+62 542 8520555","","1","294584893","576","https://media-cdn.tripadvisor.com/media/photo-w/11/8f/02/3d/20171220-200541-largejpg.jpg","1024","309","https://media-cdn.tripadvisor.com/media/photo-s/11/8f/02/3d/20171220-200541-largejpg.jpg","550","720","https://media-cdn.tripadvisor.com/media/photo-o/11/8f/02/3d/20171220-200541-largejpg.jpg","1280","141","https://media-cdn.tripadvisor.com/media/photo-f/11/8f/02/3d/20171220-200541-largejpg.jpg","250","50","https://media-cdn.tripadvisor.com/media/photo-t/11/8f/02/3d/20171220-200541-largejpg.jpg","50","false","2017-12-21T04:40:44-0500","2017-12-21T04:40:44-0500",,"0","user",,"default","#5 of 39 things to do in Balikpapan","attraction","39","Balikpapan","317100","5","#5 of 39 things to do in Balikpapan","4.0","3.0018961429595947","26","Shopping",,,,,,,,,,,"#5 of 39 things to do in Balikpapan","143","Shopping Malls",,,,,,,,,,,,,,,,,,"Asia/Makassar",,"ATTRACTION","https://www.tripadvisor.com/Attraction_Review-g317100-d9859516-Reviews-Pentacity_Shopping_Venue-Balikpapan_East_Kalimantan_Kalimantan.html","http://pentacity-bsb.com/","https://www.tripadvisor.com/UserReview-g317100-d9859516-Pentacity_Shopping_Venue-Balikpapan_East_Kalimantan_Kalimantan.html"
"Jl. Soekarno-Hatta Km. 23 no. 185 RT. 42 Kelurahan Karang Joang, Balikpapan 76127 Indonesia","Balikpapan","Indonesia","76127",,"Jl. Soekarno-Hatta Km. 23 no. 185 RT. 42","Kelurahan Karang Joang",,"317100","Balikpapan","city","City",,"2301802","East Kalimantan","province","Province",,"294227","Kalimantan","region","Region",,"294225","Indonesia","country","Country","https://www.tripadvisor.com/blog/animal-welfare-education-portal/","Learn more","Click below for expert advice on animal welfare in tourism.","This attraction features animals","Features Animals","https://api.tripadvisor.com/api/internal/1.14/location/6491644",,,,"attraction","Attraction","Kawasan Wisata Pendidikan Lingkungan Hidup (KWPLH), which translates to Environmental Education and Recreation facility, or colloquially also known as the Sun Bear Center, is an environmental education facility located 23 km north of Balikpapan in East Kalimantan, Indonesian Borneo. In 2002, the Sun Bear was proposed as the mascot of Balikpapan, fuelled by the first research project on wild sun bears carried out in the field in the Sungai Wain Protection Forest located without Balikpapan City boundaries. Since 2004, the City Government has collaborated with private donors and wildlife experts to develop the sun bear education center, the centerpiece of which is a 1.3 ha natural enclosure housing 7 sun bears that can never be released into the wild. This is enclosure is widely recognized as one of the best of its kind in Asia, and increasing numbers of tourists (70,000 in 2013), domestic and foreign, can see the mascot of Balikpapan in a natural environment. In 2008, a Sun Bear information exhibit, the largest and most comprehensive of its kind in Asia, was opened at the Centre, followed by an education exhibit focusing on Domestic animal care versus Wildlife not suitable as pets. In 2014 a new exhibit focusing on the rich Endemic Flora and Fauna of Borneo was opened. Plans are under way to develop further exhibits with environmental themes, such as the different ecosystems and their functions from mountains to the sea in Borneo. The Centre has also developed a rescue facility for stray and abandoned cats and dogs, also providing the public with information on pet care. In addition, over the years, attractive gardens and outward bound facilities have been developed, and visitor numbers have increased steadily. The majority of visitors are local schoolchildren, community groups and families wanting to escape the hustle and bustle of the city for a few hours. To date the site developments have largely been funded through donations, while the basic running costs have been funded by the city government. The site currently employs 41 staff, 80% of whom are from local communities.",,,"as.indonesia.borneo","kwplh.balikpapan@beruangmadu.org","Asia/Makassar","1020","480","1020","480","1020","480","1020","480","1020","480","1020","480","1020","480","https://media-cdn.tripadvisor.com/media/photo-o/0e/4a/9d/99/the-iconic-mascot.jpg","false","false","false","false","-1.109871","6491644","Balikpapan, East Kalimantan, Kalimantan","none","116.90392",,"Sun Bear Education and Conservation Center","120",,,,,,,,,,,,,,"Closed Now","Balikpapan","+62 811-5378-169","The iconic mascot.","2","239771033","682","https://media-cdn.tripadvisor.com/media/photo-w/0e/4a/9d/99/the-iconic-mascot.jpg","1024","367","https://media-cdn.tripadvisor.com/media/photo-s/0e/4a/9d/99/the-iconic-mascot.jpg","550","1333","https://media-cdn.tripadvisor.com/media/photo-o/0e/4a/9d/99/the-iconic-mascot.jpg","2000","150","https://media-cdn.tripadvisor.com/media/photo-l/0e/4a/9d/99/the-iconic-mascot.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/0e/4a/9d/99/the-iconic-mascot.jpg","50","false","2017-01-30T00:33:17-0500","2017-01-30T00:33:17-0500",,"0","user",,"default","#2 of 39 things to do in Balikpapan","attraction","39","Balikpapan","317100","2","#2 of 39 things to do in Balikpapan","4.0","3.28418231010437","57","Nature & Parks",,,,,,,,,,,"#2 of 39 things to do in Balikpapan","68","Nature & Wildlife Areas",,,,,,,,,,,,,"https://www.tripadvisor.com/blog/animal-welfare-education-portal/","Learn more","Click below for expert advice on animal welfare in tourism.","This attraction features animals","Features Animals","Asia/Makassar",,"ATTRACTION","https://www.tripadvisor.com/Attraction_Review-g317100-d6491644-Reviews-Sun_Bear_Education_and_Conservation_Center-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.beruangmadu.org","https://www.tripadvisor.com/UserReview-g317100-d6491644-Sun_Bear_Education_and_Conservation_Center-Balikpapan_East_Kalimantan_Kalimantan.html"
"Jl. Mulawarman no. 66, RT. 29, Balikpapan 76115 Indonesia","Balikpapan","Indonesia","76115",,"Jl. Mulawarman no. 66, RT. 29",,,"317100","Balikpapan","city","City",,"2301802","East Kalimantan","province","Province",,"294227","Kalimantan","region","Region",,"294225","Indonesia","country","Country","https://www.tripadvisor.com/blog/animal-welfare-education-portal/","Learn more","Click below for expert advice on animal welfare in tourism.","This attraction features animals","Features Animals","https://api.tripadvisor.com/api/internal/1.14/location/7358710",,,,"attraction","Attraction","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/0c/fa/fd/cb/the-big-crocs-chilling.jpg","false","false","false","false","-1.247694","7358710","Balikpapan, East Kalimantan, Kalimantan","none","116.936325",,"Teritip Crocodile Farm","98",,,,,,,,,,,,,,,"Balikpapan",,"the big crocs chilling","2","217775563","413","https://media-cdn.tripadvisor.com/media/photo-s/0c/fa/fd/cb/the-big-crocs-chilling.jpg","550","188","https://media-cdn.tripadvisor.com/media/photo-f/0c/fa/fd/cb/the-big-crocs-chilling.jpg","250","1500","https://media-cdn.tripadvisor.com/media/photo-o/0c/fa/fd/cb/the-big-crocs-chilling.jpg","2000","150","https://media-cdn.tripadvisor.com/media/photo-l/0c/fa/fd/cb/the-big-crocs-chilling.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/0c/fa/fd/cb/the-big-crocs-chilling.jpg","50","false","2016-09-16T02:52:22-0400","2016-09-16T02:52:22-0400",,"0","user",,"default","#18 of 39 things to do in Balikpapan","attraction","39","Balikpapan","317100","18","#18 of 39 things to do in Balikpapan","3.0","2.7925662994384766","47","Sights & Landmarks",,,,,,,,,,,"#18 of 39 things to do in Balikpapan","122","Farms",,,,,,,,,,,,,"https://www.tripadvisor.com/blog/animal-welfare-education-portal/","Learn more","Click below for expert advice on animal welfare in tourism.","This attraction features animals","Features Animals","Asia/Makassar",,"ATTRACTION","https://www.tripadvisor.com/Attraction_Review-g317100-d7358710-Reviews-Teritip_Crocodile_Farm-Balikpapan_East_Kalimantan_Kalimantan.html",,"https://www.tripadvisor.com/UserReview-g317100-d7358710-Teritip_Crocodile_Farm-Balikpapan_East_Kalimantan_Kalimantan.html"
"Balikpapan Indonesia","Balikpapan","Indonesia",,,,,,"317100","Balikpapan","city","City",,"2301802","East Kalimantan","province","Province",,"294227","Kalimantan","region","Region",,"294225","Indonesia","country","Country",,,,,,"https://api.tripadvisor.com/api/internal/1.14/location/8670794",,,,"attraction","Attraction","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/09/93/04/4c/img-20151119-152608-largejpg.jpg","false","false","false","false","-1.212555","8670794","Balikpapan, East Kalimantan, Kalimantan","none","116.98106",,"Manggar Segarasari Beach","32",,,,,,,,,,,,,,,"Balikpapan",,"","0","160629836","733","https://media-cdn.tripadvisor.com/media/photo-p/09/93/04/4c/img-20151119-152608-largejpg.jpg","550","450","https://media-cdn.tripadvisor.com/media/photo-s/09/93/04/4c/img-20151119-152608-largejpg.jpg","338","1600","https://media-cdn.tripadvisor.com/media/photo-o/09/93/04/4c/img-20151119-152608-largejpg.jpg","1200","150","https://media-cdn.tripadvisor.com/media/photo-l/09/93/04/4c/img-20151119-152608-largejpg.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/09/93/04/4c/img-20151119-152608-largejpg.jpg","50","true","2015-11-21T10:26:56-0500","2015-11-21T10:26:56-0500",,"0","user",,"default","#11 of 39 things to do in Balikpapan","attraction","39","Balikpapan","317100","11","#11 of 39 things to do in Balikpapan","3.5","2.8502612113952637","57","Nature & Parks","61","Outdoor Activities",,,,,,,,,"#11 of 39 things to do in Balikpapan","52","Beaches",,,,,,,,,,,,,,,,,,"Asia/Makassar",,"ATTRACTION","https://www.tripadvisor.com/Attraction_Review-g317100-d8670794-Reviews-Manggar_Segarasari_Beach-Balikpapan_East_Kalimantan_Kalimantan.html",,"https://www.tripadvisor.com/UserReview-g317100-d8670794-Manggar_Segarasari_Beach-Balikpapan_East_Kalimantan_Kalimantan.html"
