"address","address_obj/city","address_obj/country","address_obj/postalcode","address_obj/state","address_obj/street1","address_obj/street2","ancestors/0/abbrv","ancestors/0/location_id","ancestors/0/name","ancestors/0/subcategory/0/key","ancestors/0/subcategory/0/name","ancestors/1/abbrv","ancestors/1/location_id","ancestors/1/name","ancestors/1/subcategory/0/key","ancestors/1/subcategory/0/name","ancestors/2/abbrv","ancestors/2/location_id","ancestors/2/name","ancestors/2/subcategory/0/key","ancestors/2/subcategory/0/name","ancestors/3/abbrv","ancestors/3/location_id","ancestors/3/name","ancestors/3/subcategory/0/key","ancestors/3/subcategory/0/name","api_detail_url","bearing","category/key","category/name","description","distance","distance_string","doubleclick_zone","email","hours/timezone","hours/week_ranges/0/0/close_time","hours/week_ranges/0/0/open_time","hours/week_ranges/1/0/close_time","hours/week_ranges/1/0/open_time","hours/week_ranges/2/0/close_time","hours/week_ranges/2/0/open_time","hours/week_ranges/3/0/close_time","hours/week_ranges/3/0/open_time","hours/week_ranges/4/0/close_time","hours/week_ranges/4/0/open_time","hours/week_ranges/5/0/close_time","hours/week_ranges/5/0/open_time","hours/week_ranges/6/0/close_time","hours/week_ranges/6/0/open_time","image","is_candidate_for_contact_info_suppression","is_closed","is_jfy_enabled","is_long_closed","latitude","location_id","location_string","location_subtype","longitude","machine_translated","name","num_reviews","open_now_text","parent_display_name","phone","photo/caption","photo/helpful_votes","photo/id","photo/images/large/height","photo/images/large/url","photo/images/large/width","photo/images/medium/height","photo/images/medium/url","photo/images/medium/width","photo/images/original/height","photo/images/original/url","photo/images/original/width","photo/images/small/height","photo/images/small/url","photo/images/small/width","photo/images/thumbnail/height","photo/images/thumbnail/url","photo/images/thumbnail/width","photo/is_blessed","photo/published_date","photo/uploaded_date","photo/user","photo/user/member_id","photo/user/type","photo/user/user_id","preferred_map_engine","ranking","ranking_category","ranking_denominator","ranking_geo","ranking_geo_id","ranking_position","ranking_subcategory","rating","raw_ranking","subcategory/0/key","subcategory/0/name","subcategory/1/key","subcategory/1/name","subcategory/2/key","subcategory/2/name","subcategory/3/key","subcategory/3/name","subcategory/4/key","subcategory/4/name","subcategory/5/key","subcategory/5/name","subcategory_ranking","subtype/0/key","subtype/0/name","subtype/1/key","subtype/1/name","subtype/2/key","subtype/2/name","subtype/3/key","subtype/3/name","subtype/4/key","subtype/4/name","subtype/5/key","subtype/5/name","subtype/6/key","subtype/6/name","timezone","type","web_url","website","write_review"
"Bukit Bangkirai, Balikpapan 75271 Indonesia","Balikpapan","Indonesia","75271",,"Bukit Bangkirai","",,"317100","Balikpapan","city","Kota",,"2301802","Kalimantan Timur","province","Provinsi",,"294227","Kalimantan","region","Wilayah",,"294225","Indonesia","country","Negara","https://api.tripadvisor.com/api/internal/1.14/in/location/6912361",,"attraction","Objek Wisata","Kawasan wisata ini terletak di Kecamatan Samboja, Kabupaten Kutai Kartanegara, Kalimantan Timur. Bukit Bangkirai dapat ditempuh melalui perjalanan darat selama 1,5 jam dari Kota Balikpapan.",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/06/47/6d/77/bangkirai-hill-nature.jpg","false","false","false","false","-1.02911","6912361","Balikpapan, Kalimantan Timur, Kalimantan","none","116.86728",,"Wisata Alam Bukit Bangkirai","142",,"Balikpapan","+62 813-5499-9386","the canopy bridge","8","105344375","467","https://media-cdn.tripadvisor.com/media/photo-o/06/47/6d/77/bangkirai-hill-nature.jpg","700","366","https://media-cdn.tripadvisor.com/media/photo-s/06/47/6d/77/bangkirai-hill-nature.jpg","550","467","https://media-cdn.tripadvisor.com/media/photo-o/06/47/6d/77/bangkirai-hill-nature.jpg","700","150","https://media-cdn.tripadvisor.com/media/photo-l/06/47/6d/77/bangkirai-hill-nature.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/06/47/6d/77/bangkirai-hill-nature.jpg","50","true","2014-07-31T06:24:24-0400","2014-07-30T01:34:01-0400",,"0","user",,"default","No. 1 dari 39 hal yang dapat dilakukan di Balikpapan","attraction","39","Balikpapan","317100","1","No. 1 dari 39 hal yang dapat dilakukan di Balikpapan","4.0","3.4426870346069336","47","Pemandangan & Tengara","57","Wisata Alam & Taman",,,,,,,,,"No. 1 dari 39 hal yang dapat dilakukan di Balikpapan","163","Tempat Menarik & Tengara","5","Jembatan","68","Area Wisata Alam& Taman Margasatwa",,,,,,,,,"Asia/Makassar","ATTRACTION","https://www.tripadvisor.co.id/Attraction_Review-g317100-d6912361-Reviews-Bangkirai_Hill_Nature_Tourism-Balikpapan_East_Kalimantan_Kalimantan.html",,"https://www.tripadvisor.co.id/UserReview-g317100-d6912361-Bangkirai_Hill_Nature_Tourism-Balikpapan_East_Kalimantan_Kalimantan.html"
"Jl. Mulawarman no. 66, RT. 29, Balikpapan 76115 Indonesia","Balikpapan","Indonesia","76115",,"Jl. Mulawarman no. 66, RT. 29","",,"317100","Balikpapan","city","Kota",,"2301802","Kalimantan Timur","province","Provinsi",,"294227","Kalimantan","region","Wilayah",,"294225","Indonesia","country","Negara","https://api.tripadvisor.com/api/internal/1.14/in/location/7358710",,"attraction","Objek Wisata","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/0c/fa/fd/cb/the-big-crocs-chilling.jpg","false","false","false","false","-1.247694","7358710","Balikpapan, Kalimantan Timur, Kalimantan","none","116.936325",,"Penangkaran Buaya Teritip","98",,"Balikpapan",,"the big crocs chilling","2","217775563","413","https://media-cdn.tripadvisor.com/media/photo-s/0c/fa/fd/cb/the-big-crocs-chilling.jpg","550","188","https://media-cdn.tripadvisor.com/media/photo-f/0c/fa/fd/cb/the-big-crocs-chilling.jpg","250","1500","https://media-cdn.tripadvisor.com/media/photo-o/0c/fa/fd/cb/the-big-crocs-chilling.jpg","2000","150","https://media-cdn.tripadvisor.com/media/photo-l/0c/fa/fd/cb/the-big-crocs-chilling.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/0c/fa/fd/cb/the-big-crocs-chilling.jpg","50","false","2016-09-16T02:52:22-0400","2016-09-16T02:52:22-0400",,"0","user",,"default","No. 18 dari 39 hal yang dapat dilakukan di Balikpapan","attraction","39","Balikpapan","317100","18","No. 18 dari 39 hal yang dapat dilakukan di Balikpapan","3.0","2.7925662994384766","47","Pemandangan & Tengara",,,,,,,,,,,"No. 18 dari 39 hal yang dapat dilakukan di Balikpapan","122","Pertanian",,,,,,,,,,,,,"Asia/Makassar","ATTRACTION","https://www.tripadvisor.co.id/Attraction_Review-g317100-d7358710-Reviews-Teritip_Crocodile_Farm-Balikpapan_East_Kalimantan_Kalimantan.html",,"https://www.tripadvisor.co.id/UserReview-g317100-d7358710-Teritip_Crocodile_Farm-Balikpapan_East_Kalimantan_Kalimantan.html"
"Jln. Mulawarman, Balikpapan 76115 Indonesia","Balikpapan","Indonesia","76115",,"Jln. Mulawarman","",,"317100","Balikpapan","city","Kota",,"2301802","Kalimantan Timur","province","Provinsi",,"294227","Kalimantan","region","Wilayah",,"294225","Indonesia","country","Negara","https://api.tripadvisor.com/api/internal/1.14/in/location/6931126",,"attraction","Objek Wisata","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/08/10/a8/f1/pantai-lamaru.jpg","false","false","false","false","-1.25528","6931126","Balikpapan, Kalimantan Timur, Kalimantan","none","116.92601",,"Pantai Lamaru","126",,"Balikpapan",,"Pantai Lamaru","1","135309553","412","https://media-cdn.tripadvisor.com/media/photo-s/08/10/a8/f1/pantai-lamaru.jpg","550","188","https://media-cdn.tripadvisor.com/media/photo-f/08/10/a8/f1/pantai-lamaru.jpg","250","1224","https://media-cdn.tripadvisor.com/media/photo-o/08/10/a8/f1/pantai-lamaru.jpg","1632","150","https://media-cdn.tripadvisor.com/media/photo-l/08/10/a8/f1/pantai-lamaru.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/08/10/a8/f1/pantai-lamaru.jpg","50","false","2015-06-09T23:50:55-0400","2015-06-09T04:13:51-0400",,"0","user",,"default","No. 4 dari 39 hal yang dapat dilakukan di Balikpapan","attraction","39","Balikpapan","317100","4","No. 4 dari 39 hal yang dapat dilakukan di Balikpapan","3.5","3.0915579795837402","57","Wisata Alam & Taman","61","Aktivitas Luar Ruangan",,,,,,,,,"No. 4 dari 39 hal yang dapat dilakukan di Balikpapan","52","Pantai",,,,,,,,,,,,,"Asia/Makassar","ATTRACTION","https://www.tripadvisor.co.id/Attraction_Review-g317100-d6931126-Reviews-Lamaru_Beach-Balikpapan_East_Kalimantan_Kalimantan.html",,"https://www.tripadvisor.co.id/UserReview-g317100-d6931126-Lamaru_Beach-Balikpapan_East_Kalimantan_Kalimantan.html"
"Jln. Jendral Sudirman no. 47, Balikpapan 76114 Indonesia","Balikpapan","Indonesia","76114",,"Jln. Jendral Sudirman no. 47","",,"317100","Balikpapan","city","Kota",,"2301802","Kalimantan Timur","province","Provinsi",,"294227","Kalimantan","region","Wilayah",,"294225","Indonesia","country","Negara","https://api.tripadvisor.com/api/internal/1.14/in/location/9859516",,"attraction","Objek Wisata","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/11/8f/02/3d/20171220-200541-largejpg.jpg","false","false","false","false","-1.277344","9859516","Balikpapan, Kalimantan Timur, Kalimantan","none","116.83002",,"Mall Pentacity","31",,"Balikpapan","+62 542 8520555","","1","294584893","576","https://media-cdn.tripadvisor.com/media/photo-w/11/8f/02/3d/20171220-200541-largejpg.jpg","1024","309","https://media-cdn.tripadvisor.com/media/photo-s/11/8f/02/3d/20171220-200541-largejpg.jpg","550","720","https://media-cdn.tripadvisor.com/media/photo-o/11/8f/02/3d/20171220-200541-largejpg.jpg","1280","141","https://media-cdn.tripadvisor.com/media/photo-f/11/8f/02/3d/20171220-200541-largejpg.jpg","250","50","https://media-cdn.tripadvisor.com/media/photo-t/11/8f/02/3d/20171220-200541-largejpg.jpg","50","false","2017-12-21T04:40:44-0500","2017-12-21T04:40:44-0500",,"0","user",,"default","No. 5 dari 39 hal yang dapat dilakukan di Balikpapan","attraction","39","Balikpapan","317100","5","No. 5 dari 39 hal yang dapat dilakukan di Balikpapan","4.0","3.0018961429595947","26","Tempat Belanja",,,,,,,,,,,"No. 5 dari 39 hal yang dapat dilakukan di Balikpapan","143","Tempat Belanja",,,,,,,,,,,,,"Asia/Makassar","ATTRACTION","https://www.tripadvisor.co.id/Attraction_Review-g317100-d9859516-Reviews-Pentacity_Shopping_Venue-Balikpapan_East_Kalimantan_Kalimantan.html","http://pentacity-bsb.com/","https://www.tripadvisor.co.id/UserReview-g317100-d9859516-Pentacity_Shopping_Venue-Balikpapan_East_Kalimantan_Kalimantan.html"
"Jl. Soekarno-Hatta Km. 23 no. 185 RT. 42 Kelurahan Karang Joang, Balikpapan 76127 Indonesia","Balikpapan","Indonesia","76127",,"Jl. Soekarno-Hatta Km. 23 no. 185 RT. 42","Kelurahan Karang Joang",,"317100","Balikpapan","city","Kota",,"2301802","Kalimantan Timur","province","Provinsi",,"294227","Kalimantan","region","Wilayah",,"294225","Indonesia","country","Negara","https://api.tripadvisor.com/api/internal/1.14/in/location/6491644",,"attraction","Objek Wisata","Kawasan Wisata Pendidikan Lingkungan Hidup (KWPLH), atau yang dikenal sebagai Pusat Beruang Madu, adalah sebuah fasilitas pendidikan lingkungan hidup yang terletak 23 km di sebelah utara kota Balikpapan, Kalimantan Timur, Indonesia. Pada tahun 2002, Beruang madu diperkenalkan sebagai maskot dari Balikpapan, dorongan dari sebuah proyek penelitian yang pertama kali dilakukan pada beruang madu di Hutan Lindung Sungai Wain yang terletak di perbatasan kota Balikpapan. Sejak tahun 2004, Pemerintah Kota telah berkolaborasi dengan lembaga donor swasta dan ahli-ahli margasatwa untuk membangun pusat pendidikan beruang madu, bagian intinya adalah sebuah enklosur alami seluas 1,3 hektar yang ditempati 7 ekor beruang madu yang sudah tidak dapat dilepasliarkan lagi ke alam. Enklosur ini secara luas dikenali sebagai salah satu yang terbaik di Asia, dan meningkatkan jumlah wisatawan (70.000 orang di tahun 2013) domestik dan mancanegara yang datang untuk melihat maskot Balikpapan di ruang lingkupnya yang alami. Pada tahun 2008, pusat informasi beruang madu yang terbesar dan sangat komprehensif di Asia telah dibuka, diikuti dengan pembukaan fasilitas pendidikan yang fokus pada hewan domestik dan satwa liar yang tidak layak untuk dijadikan hewan piaraan. Di tahun 2014, pusat informasi baru yang fokus pada kekayaan Flora dan Fauna Endemik Kalimantan telah dibuka. Perencanaan pembangunan pusat informasi lainnya dengan mengambil tema lingkungan hidup masih berlanjut untuk dikembangkan, seperti keragaman ekosistem di Kalimantan dan fungsi-fungsinya mulai dari penggunungan hingga ke lautan. KWPLH juga telah membangun fasilitas penyelamatan untuk kucing dan anjing yang berkeliaran dan ditelantarkan, juga menghadirkan informasi mengenai perawatan hewan piaraan kepada masyarakat. Sebagai tambahan, selama bertahun-tahun, taman yang atraktif dan fasilitas untuk kegiatan luar ruangan juga ikut dikembangkan dan wisatawan yang datang terus meningkat sepanjang waktu. Kebanyakan dari pengunjung adalah anak-anak sekolah, kelompok-kelompok komunitas dan keluarga yang ingin melepaskan diri dari kesibukan di kota untuk beberapa jam. Hingga sampai saat ini pembangunan KWPLH secara luas didanai melalui donasi-donasi, sedangkan biaya operasional dasar didanai oleh Pemerintah Kota. KWPLH saat ini mempekerjakan 41 pegawai, dimana 80% dari itu adalah warga sekitar.",,,"as.indonesia.borneo","kwplh.balikpapan@beruangmadu.org","Asia/Makassar","1020","480","1020","480","1020","480","1020","480","1020","480","1020","480","1020","480","https://media-cdn.tripadvisor.com/media/photo-o/0e/4a/9d/99/the-iconic-mascot.jpg","false","false","false","false","-1.109871","6491644","Balikpapan, Kalimantan Timur, Kalimantan","none","116.90392",,"Sun Bear Education and Conservation Center","120","Sekarang Tutup","Balikpapan","+62 811-5378-169","The iconic mascot.","2","239771033","682","https://media-cdn.tripadvisor.com/media/photo-w/0e/4a/9d/99/the-iconic-mascot.jpg","1024","367","https://media-cdn.tripadvisor.com/media/photo-s/0e/4a/9d/99/the-iconic-mascot.jpg","550","1333","https://media-cdn.tripadvisor.com/media/photo-o/0e/4a/9d/99/the-iconic-mascot.jpg","2000","150","https://media-cdn.tripadvisor.com/media/photo-l/0e/4a/9d/99/the-iconic-mascot.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/0e/4a/9d/99/the-iconic-mascot.jpg","50","false","2017-01-30T00:33:17-0500","2017-01-30T00:33:17-0500",,"0","user",,"default","No. 2 dari 39 hal yang dapat dilakukan di Balikpapan","attraction","39","Balikpapan","317100","2","No. 2 dari 39 hal yang dapat dilakukan di Balikpapan","4.0","3.28418231010437","57","Wisata Alam & Taman",,,,,,,,,,,"No. 2 dari 39 hal yang dapat dilakukan di Balikpapan","68","Area Wisata Alam& Taman Margasatwa",,,,,,,,,,,,,"Asia/Makassar","ATTRACTION","https://www.tripadvisor.co.id/Attraction_Review-g317100-d6491644-Reviews-Sun_Bear_Education_and_Conservation_Center-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.beruangmadu.org","https://www.tripadvisor.co.id/UserReview-g317100-d6491644-Sun_Bear_Education_and_Conservation_Center-Balikpapan_East_Kalimantan_Kalimantan.html"
"Jl. MT. Haryono, Balikpapan 76126 Indonesia","Balikpapan","Indonesia","76126",,"Jl. MT. Haryono","",,"317100","Balikpapan","city","Kota",,"2301802","Kalimantan Timur","province","Provinsi",,"294227","Kalimantan","region","Wilayah",,"294225","Indonesia","country","Negara","https://api.tripadvisor.com/api/internal/1.14/in/location/10112099",,"attraction","Objek Wisata","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/0a/ef/31/9a/various-joy-rides-and.jpg","false","false","false","false","-1.25746","10112099","Balikpapan, Kalimantan Timur, Kalimantan","none","116.86833",,"Transmart Carrefour","23",,"Balikpapan",,"Various joy rides and play station games for children","3","183447962","413","https://media-cdn.tripadvisor.com/media/photo-s/0a/ef/31/9a/various-joy-rides-and.jpg","550","188","https://media-cdn.tripadvisor.com/media/photo-f/0a/ef/31/9a/various-joy-rides-and.jpg","250","1536","https://media-cdn.tripadvisor.com/media/photo-o/0a/ef/31/9a/various-joy-rides-and.jpg","2048","150","https://media-cdn.tripadvisor.com/media/photo-l/0a/ef/31/9a/various-joy-rides-and.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/0a/ef/31/9a/various-joy-rides-and.jpg","50","true","2016-04-28T11:53:22-0400","2016-04-17T23:51:24-0400",,"0","user",,"default","No. 10 dari 39 hal yang dapat dilakukan di Balikpapan","attraction","39","Balikpapan","317100","10","No. 10 dari 39 hal yang dapat dilakukan di Balikpapan","4.0","2.902296304702759","26","Tempat Belanja",,,,,,,,,,,"No. 10 dari 39 hal yang dapat dilakukan di Balikpapan","138","Department Store","143","Tempat Belanja",,,,,,,,,,,"Asia/Makassar","ATTRACTION","https://www.tripadvisor.co.id/Attraction_Review-g317100-d10112099-Reviews-Transmart_Carrefour-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.carrefour.co.id/shop/transmart/","https://www.tripadvisor.co.id/UserReview-g317100-d10112099-Transmart_Carrefour-Balikpapan_East_Kalimantan_Kalimantan.html"
"Jln. Gunung Empat Belakang SMU Negeri 8, Balikpapan 76131 Indonesia","Balikpapan","Indonesia","76131",,"Jln. Gunung Empat","Belakang SMU Negeri 8",,"317100","Balikpapan","city","Kota",,"2301802","Kalimantan Timur","province","Provinsi",,"294227","Kalimantan","region","Wilayah",,"294225","Indonesia","country","Negara","https://api.tripadvisor.com/api/internal/1.14/in/location/6491639",,"attraction","Objek Wisata","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/05/ad/8b/df/hutan-mangrove-margomulyo.jpg","false","false","false","false","-1.22362","6491639","Balikpapan, Kalimantan Timur, Kalimantan","none","116.82412",,"Hutan Mangrove Margomulyo","51",,"Balikpapan",,"mangrove4","10","95259615","412","https://media-cdn.tripadvisor.com/media/photo-s/05/ad/8b/df/hutan-mangrove-margomulyo.jpg","550","187","https://media-cdn.tripadvisor.com/media/photo-f/05/ad/8b/df/hutan-mangrove-margomulyo.jpg","250","480","https://media-cdn.tripadvisor.com/media/photo-o/05/ad/8b/df/hutan-mangrove-margomulyo.jpg","640","150","https://media-cdn.tripadvisor.com/media/photo-l/05/ad/8b/df/hutan-mangrove-margomulyo.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/05/ad/8b/df/hutan-mangrove-margomulyo.jpg","50","true","2014-04-06T21:27:58-0400","2014-04-04T23:33:48-0400",,"0","user",,"default","No. 6 dari 39 hal yang dapat dilakukan di Balikpapan","attraction","39","Balikpapan","317100","6","No. 6 dari 39 hal yang dapat dilakukan di Balikpapan","4.0","2.986687421798706","57","Wisata Alam & Taman",,,,,,,,,,,"No. 6 dari 39 hal yang dapat dilakukan di Balikpapan","57","Hutan",,,,,,,,,,,,,"Asia/Makassar","ATTRACTION","https://www.tripadvisor.co.id/Attraction_Review-g317100-d6491639-Reviews-Margomulyo_Mangrove_Forest-Balikpapan_East_Kalimantan_Kalimantan.html",,"https://www.tripadvisor.co.id/UserReview-g317100-d6491639-Margomulyo_Mangrove_Forest-Balikpapan_East_Kalimantan_Kalimantan.html"
"Balikpapan Indonesia","Balikpapan","Indonesia",,,,"",,"317100","Balikpapan","city","Kota",,"2301802","Kalimantan Timur","province","Provinsi",,"294227","Kalimantan","region","Wilayah",,"294225","Indonesia","country","Negara","https://api.tripadvisor.com/api/internal/1.14/in/location/8670794",,"attraction","Objek Wisata","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/09/93/04/4c/img-20151119-152608-largejpg.jpg","false","false","false","false","-1.212555","8670794","Balikpapan, Kalimantan Timur, Kalimantan","none","116.98106",,"Pantai Manggar Segarasari","32",,"Balikpapan",,"","0","160629836","733","https://media-cdn.tripadvisor.com/media/photo-p/09/93/04/4c/img-20151119-152608-largejpg.jpg","550","450","https://media-cdn.tripadvisor.com/media/photo-s/09/93/04/4c/img-20151119-152608-largejpg.jpg","338","1600","https://media-cdn.tripadvisor.com/media/photo-o/09/93/04/4c/img-20151119-152608-largejpg.jpg","1200","150","https://media-cdn.tripadvisor.com/media/photo-l/09/93/04/4c/img-20151119-152608-largejpg.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/09/93/04/4c/img-20151119-152608-largejpg.jpg","50","true","2015-11-21T10:26:56-0500","2015-11-21T10:26:56-0500",,"0","user",,"default","No. 11 dari 39 hal yang dapat dilakukan di Balikpapan","attraction","39","Balikpapan","317100","11","No. 11 dari 39 hal yang dapat dilakukan di Balikpapan","3.5","2.8502612113952637","57","Wisata Alam & Taman","61","Aktivitas Luar Ruangan",,,,,,,,,"No. 11 dari 39 hal yang dapat dilakukan di Balikpapan","52","Pantai",,,,,,,,,,,,,"Asia/Makassar","ATTRACTION","https://www.tripadvisor.co.id/Attraction_Review-g317100-d8670794-Reviews-Manggar_Segarasari_Beach-Balikpapan_East_Kalimantan_Kalimantan.html",,"https://www.tripadvisor.co.id/UserReview-g317100-d8670794-Manggar_Segarasari_Beach-Balikpapan_East_Kalimantan_Kalimantan.html"
"Perumahan Graha indah, Balikpapan Indonesia","Balikpapan","Indonesia",,,"Perumahan Graha indah","",,"317100","Balikpapan","city","Kota",,"2301802","Kalimantan Timur","province","Provinsi",,"294227","Kalimantan","region","Wilayah",,"294225","Indonesia","country","Negara","https://api.tripadvisor.com/api/internal/1.14/in/location/7980737",,"attraction","Objek Wisata","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/09/c3/b9/7f/mangrove-center-graha.jpg","false","false","false","false","-1.193754","7980737","Balikpapan, Kalimantan Timur, Kalimantan","none","116.84526",,"Mangrove Center Graha indah","49",,"Balikpapan","+62 813-5037-1500","Mangrove","1","163821951","534","https://media-cdn.tripadvisor.com/media/photo-o/09/c3/b9/7f/mangrove-center-graha.jpg","800","367","https://media-cdn.tripadvisor.com/media/photo-s/09/c3/b9/7f/mangrove-center-graha.jpg","550","534","https://media-cdn.tripadvisor.com/media/photo-o/09/c3/b9/7f/mangrove-center-graha.jpg","800","150","https://media-cdn.tripadvisor.com/media/photo-l/09/c3/b9/7f/mangrove-center-graha.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/09/c3/b9/7f/mangrove-center-graha.jpg","50","false","2015-12-15T04:52:06-0500","2015-12-15T04:52:06-0500",,"0","user",,"default","No. 3 dari 39 hal yang dapat dilakukan di Balikpapan","attraction","39","Balikpapan","317100","3","No. 3 dari 39 hal yang dapat dilakukan di Balikpapan","4.5","3.172269582748413","57","Wisata Alam & Taman",,,,,,,,,,,"No. 3 dari 39 hal yang dapat dilakukan di Balikpapan","68","Area Wisata Alam& Taman Margasatwa",,,,,,,,,,,,,"Asia/Makassar","ATTRACTION","https://www.tripadvisor.co.id/Attraction_Review-g317100-d7980737-Reviews-Mangrove_Center_Graha_indah-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.balitek-ksda.or.id","https://www.tripadvisor.co.id/UserReview-g317100-d7980737-Mangrove_Center_Graha_indah-Balikpapan_East_Kalimantan_Kalimantan.html"
"Jln. Jendral Sudirman, Balikpapan 76112 Indonesia","Balikpapan","Indonesia","76112",,"Jln. Jendral Sudirman","",,"317100","Balikpapan","city","Kota",,"2301802","Kalimantan Timur","province","Provinsi",,"294227","Kalimantan","region","Wilayah",,"294225","Indonesia","country","Negara","https://api.tripadvisor.com/api/internal/1.14/in/location/6601179",,"attraction","Objek Wisata","",,,"as.indonesia.borneo",,,,,,,,,,,,,,,,,"https://media-cdn.tripadvisor.com/media/photo-o/08/56/69/d7/banua-patra.jpg","false","false","false","false","-1.27139","6601179","Balikpapan, Kalimantan Timur, Kalimantan","none","116.85344",,"Pantai Benua Patra","49",,"Balikpapan",,"Banua Patra","3","139880919","412","https://media-cdn.tripadvisor.com/media/photo-s/08/56/69/d7/banua-patra.jpg","550","188","https://media-cdn.tripadvisor.com/media/photo-f/08/56/69/d7/banua-patra.jpg","250","1123","https://media-cdn.tripadvisor.com/media/photo-o/08/56/69/d7/banua-patra.jpg","1497","150","https://media-cdn.tripadvisor.com/media/photo-l/08/56/69/d7/banua-patra.jpg","150","50","https://media-cdn.tripadvisor.com/media/photo-t/08/56/69/d7/banua-patra.jpg","50","false","2015-07-14T00:24:46-0400","2015-07-11T09:36:18-0400",,"0","user",,"default","No. 8 dari 39 hal yang dapat dilakukan di Balikpapan","attraction","39","Balikpapan","317100","8","No. 8 dari 39 hal yang dapat dilakukan di Balikpapan","4.0","2.974364995956421","57","Wisata Alam & Taman","61","Aktivitas Luar Ruangan",,,,,,,,,"No. 8 dari 39 hal yang dapat dilakukan di Balikpapan","52","Pantai",,,,,,,,,,,,,"Asia/Makassar","ATTRACTION","https://www.tripadvisor.co.id/Attraction_Review-g317100-d6601179-Reviews-Benua_Patra_Beach-Balikpapan_East_Kalimantan_Kalimantan.html",,"https://www.tripadvisor.co.id/UserReview-g317100-d6601179-Benua_Patra_Beach-Balikpapan_East_Kalimantan_Kalimantan.html"
