"address","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","email","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","image","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","phone","priceLevel","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Bandar Balikpapan Ruko  Jln. Jendral Sudirman, Balikpapan 76112 Indonesia","restaurant","Cina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7617770","https://media-cdn.tripadvisor.com/media/photo-o/08/57/c6/b5/mandarin-chinese-restaurant.jpg","false","false","-1.27139","116.85344","Mandarin Chinese Restaurant","12","+62 542 739053","$$ - $$$","185","60","No. 57 dari 245 Restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d7617770-Reviews-Mandarin_Chinese_Restaurant-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.facebook.com/Mandarin-Chinese-Restaurant-515645898619450/"
"Jln. Jendral Sudirman Balikpapan Super Block Blok G 10 - 11, Balikpapan 76112 Indonesia","restaurant","Cina","Asia",,,,,,,,,,,,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"1320","600",,,"3784879","https://media-cdn.tripadvisor.com/media/photo-o/09/98/26/96/xo-suki-dim-sum.jpg","false","false","-1.27139","116.85344","XO Suki & Dim Sum","25","+62 542 7571816","$$ - $$$","185","51","No. 48 dari 245 Restoran di Balikpapan","3.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d3784879-Reviews-XO_Suki_Dim_Sum-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl. MT Haryono Dalam, Balikpapan Indonesia","restaurant",,,,,,,,,,,,,,,"1260","720",,,"1260","720",,,"1260","720",,,"1260","720",,,"1260","720",,,"1260","720",,,"1260","720",,,"10669693","https://media-cdn.tripadvisor.com/media/photo-o/0c/52/eb/fa/mie-ayam-and-bakso-pangsit.jpg","false","false","-1.26417","116.85959","Bakso dan Mie Pangsit Wardoyo","9",,"$","185","56","No. 53 dari 245 Restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d10669693-Reviews-Bakso_dan_Mie_Pangsit_Wardoyo-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jl. Jendral Sudirman no. 285 Markoni, Balikpapan 76113 Indonesia","restaurant","Asia","Indonesia",,,,,,,,,,,,"igabakar_blpn@yahoo.co.id",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7003743","https://media-cdn.tripadvisor.com/media/photo-o/0e/42/95/74/img-20170126-222108-largejpg.jpg","false","false","-1.273553","116.85041","Iga Bakar Mas Giri","28","+62 542 424124","$$ - $$$","185","54","No. 51 dari 245 Restoran di Balikpapan","3.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d7003743-Reviews-Iga_Bakar_Mas_Giri-Balikpapan_East_Kalimantan_Kalimantan.html","http://igamasgiri.blogspot.com/"
"Jl. Sudirman Kawasan Niaga Terpadu Bandar Balikpapan Blok L, Balikpapan 76112 Indonesia","restaurant","Makanan Laut","Indonesia","Cina","Asia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3974755","https://media-cdn.tripadvisor.com/media/photo-o/0a/90/02/f9/restoran-tampak-depan.jpg","false","false","-1.274173","116.84956","Zeus Cafe and Lounge","26","+62 542 739141","$$ - $$$","185","52","No. 49 dari 245 Restoran di Balikpapan","3.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d3974755-Reviews-Zeus_Cafe_and_Lounge-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.facebook.com/pages/Zeus-Cafe-Lounge/231521816935259?rf=321217627927661"
"Jln. Jendral Sudirman 245, Balikpapan 76112 Indonesia","restaurant","Makanan Laut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6489051",,"false","false","-1.279422","116.812454","RM Bunaken Indah","12","+62 542 732022","$$ - $$$","185","58","No. 55 dari 245 Restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d6489051-Reviews-RM_Bunaken_Indah-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jln. H ARS. Muhammad 7 Gran Senyiur Hotel, 7th Floor, Balikpapan 76112 Indonesia","restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7913923","https://media-cdn.tripadvisor.com/media/photo-o/07/a6/91/fc/sky-grill-restaurant.jpg","false","false","-1.272809","116.83241","Sky Grill Restaurant","9","+62 542 820211","$$$$","185","59","No. 56 dari 245 Restoran di Balikpapan","4","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d7913923-Reviews-Sky_Grill_Restaurant-Balikpapan_East_Kalimantan_Kalimantan.html","http://gran.senyiurhotels.com/restaurants/sky-grill-restaurant/#content"
"Jl. Marsma R Iswahyudi, Balikpapan Indonesia","restaurant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6373741","https://media-cdn.tripadvisor.com/media/photo-o/07/e3/b3/16/ikan-cumi-udang-bakar.jpg","false","false","-1.25771","116.90578","Warung Ikan Bakar Pelangi","8",,"$$ - $$$","185","53","No. 50 dari 245 Restoran di Balikpapan","4.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d6373741-Reviews-Warung_Ikan_Bakar_Pelangi-Balikpapan_East_Kalimantan_Kalimantan.html",
"Jln. Jendral Sudirman No 47 E-Walk Balikpapan, Stal Kuda, Balikpapan 76114 Indonesia","restaurant","Asia","Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8388299","https://media-cdn.tripadvisor.com/media/photo-o/08/4b/f7/00/bakso-lapangan-tembak.jpg","false","false","-1.277344","116.83002","Bakso Lapangan Tembak Senayan E-Walk","13",,"$$ - $$$","185","57","No. 54 dari 245 Restoran di Balikpapan","3.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d8388299-Reviews-Bakso_Lapangan_Tembak_Senayan_E_Walk-Balikpapan_East_Kalimantan_Kalimantan.html","http://baksolapangantembaksenayan.com/member/superblok"
"Jln. MT. Haryono, Balikpapan 76114 Indonesia","restaurant","Cina","Makanan Laut","Asia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7178576","https://media-cdn.tripadvisor.com/media/photo-o/10/da/e9/54/photo0jpg.jpg","false","false","-1.24892","116.87067","RM Dinasti","18","+62 542 877445","$$ - $$$","185","32","No. 32 dari 265 restoran di Balikpapan","4.5","RESTAURANT","https://www.tripadvisor.co.id/Restaurant_Review-g317100-d7178576-Reviews-Dinasti_Restaurant-Balikpapan_East_Kalimantan_Kalimantan.html",
