"address","category","email","hotelClass","hotelClassAttribution","id","image","latitude","longitude","name","numberOfReviews","numberOfRooms","phone","priceLevel","priceRange","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Jl. Mayjen Sutoyo no. 67, Balikpapan 76122 Indonesia","hotel","balikpapaninfo@neohotels.com","3.0","Properti ini diklasifikasikan menurut Giata.","11911745","https://media-cdn.tripadvisor.com/media/photo-o/0e/0d/03/a1/neo-balikpapan-deluxe.jpg","-1.262808","116.84035","Hotel Neo+ Balikpapan","102","101","+62 542 8515000","$","Rp 463.000 - Rp 567.000","122","9","No. 9 dari 122 hotel di Balikpapan","4","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d11911745-Reviews-Hotel_Neo_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.neohotels.com/en/location/overview/63/Hotel-NEO--Balikpapan"
"Jl. Marsma Iswahyudi No. 21, Balikpapan 76115 Indonesia","hotel","reservation.balikpapan@grandtjokro.com","4.0","Properti ini diklasifikasikan menurut Giata.","9455339","https://media-cdn.tripadvisor.com/media/photo-o/0a/96/1c/bd/grand-tjokro-balikpapan.jpg","-1.262442","116.89375","Grand Tjokro Balikpapan","130","148","+62 542 8521111","$","Rp 478.000 - Rp 612.000","122","10","No. 10 dari 122 hotel di Balikpapan","4","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d9455339-Reviews-Grand_Tjokro_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://grandtjokro.com/balikpapan/"
"Jl. Brigjen Eri Suparjan no. 2, Balikpapan 76112 Indonesia","hotel","reservation@novotelbalikpapan.com","5.0","Properti ini diklasifikasikan menurut Accor Hotels.","634383","https://media-cdn.tripadvisor.com/media/photo-o/23/b0/bf/b2/exterior-view.jpg","-1.275863","116.83478","Novotel Balikpapan","632","198","+62 542 733111","$","Rp 687.000 - Rp 776.000","122","6","No. 6 dari 122 hotel di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d634383-Reviews-Novotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.accorhotels.com/gb/hotel-6445-novotel-balikpapan/index.shtml"
"Jalan Jenderal Sudirman Balikpapan Ocean Square, Pasar Baru, Balikpapan 76113 Indonesia","hotel","resvsbbk@swiss-belhotel.com","4.0","Properti ini diklasifikasikan menurut Giata.","4994697","https://media-cdn.tripadvisor.com/media/photo-o/29/30/5d/cb/bedroom.jpg","-1.277759","116.841034","Swiss-Belhotel Balikpapan","477","230","+62 542 7582800","$","Rp 597.000 - Rp 731.000","122","4","No. 4 dari 122 hotel di Balikpapan","4","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d4994697-Reviews-Swiss_Belhotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.swiss-belhotel.com/en-gb/swiss-belhotel-balikpapan"
"Jl. Pelita No. 19 Sepinggan Raya, Balikpapan Selatan, Balikpapan 76115 Indonesia","hotel","risco.sianturi@fourpoints.com","4.0","Properti ini diklasifikasikan menurut Giata.","17596271","https://media-cdn.tripadvisor.com/media/photo-o/29/29/ce/b4/exterior.jpg","-1.256732","116.9002","Four Points by Sheraton Balikpapan","129","138","011625428525888","$","Rp 791.000 - Rp 1.075.000","122","2","No. 2 dari 122 hotel di Balikpapan","5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d17596271-Reviews-Four_Points_by_Sheraton_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.marriott.com/hotels/travel/bpnfp-four-points-balikpapan/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe&y_source=1_MTMyMTE4OTUtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D"
"Jl. Letjen Suprapto no. 1, Balikpapan 76131 Indonesia","hotel","info@blueskygroups.com","4.0","Properti ini diklasifikasikan menurut Giata.","1746523","https://media-cdn.tripadvisor.com/media/photo-o/22/52/3f/53/executive-suite-double.jpg","-1.2384","116.8273","Blue Sky Hotel","220","170","01162542735845","$","Rp 567.000 - Rp 672.000","122","3","No. 3 dari 122 hotel di Balikpapan","4","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d1746523-Reviews-Blue_Sky_Hotel-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.blue-sky.co.id/"
"Jl. MT. Haryono no. 78 Daerah DAM, Belakang Hanking Donat, Balikpapan 76114 Indonesia","hotel","Balikpapaninfo@favehotels.com","0.0",,"3853695","https://media-cdn.tripadvisor.com/media/photo-o/03/78/c5/1c/getlstd-property-photo.jpg","-1.266061","116.85731","favehotel MT. Haryono","351","112","+62 542 7585999","$","Rp 433.000 - Rp 463.000","122","5","No. 5 dari 122 hotel di Balikpapan","4","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d3853695-Reviews-Favehotel_MT_Haryono-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.favehotels.com/en/hotel/view/38/favehotel-m-t--haryono"
"Jl. Jenderal Sudirman no. 47 Balikpapan Superblock, Balikpapan 76112 Indonesia","hotel","reservation@jatrahotelbalikpapan.com","4.0","Properti ini diklasifikasikan menurut Giata.","1953153","https://media-cdn.tripadvisor.com/media/photo-o/07/ba/79/50/grand-jatra-hotel.jpg","-1.273157","116.8594","Grand Jatra Hotel Balikpapan","415","215","+62 542 7213888","$","Rp 925.000 - Rp 1.104.000","122","7","No. 7 dari 122 hotel di Balikpapan","4","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d1953153-Reviews-Grand_Jatra_Hotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.jatrahotels.com/grandjatra-balikpapan/"
"Jl. Soekarno Hatta no. 28, Balikpapan 76125 Indonesia","hotel","infobpn@platinumhotelindonesia.com","4.0","Properti ini diklasifikasikan menurut Giata.","9709578","https://media-cdn.tripadvisor.com/media/photo-o/12/54/75/49/platinum-hotel-convention.jpg","-1.240969","116.83813","Platinum Balikpapan Hotel & Convention Hall","409","200","+62 542 8830228","$","Rp 716.000 - Rp 1.060.000","122","1","No. 1 dari 122 hotel di Balikpapan","4.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d9709578-Reviews-Platinum_Hotel_Convention_Hall_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://platinumhotelindonesia.com/"
"Jl. Jend. Sudirman no. 7 Grand Sudirman Balikpapan, Balikpapan 76114 Indonesia","hotel","reservation@gtbalikpapan.com","4.0","Properti ini diklasifikasikan menurut Giata.","1566319","https://media-cdn.tripadvisor.com/media/photo-o/1b/99/7c/ba/golden-tulip-balikpapan.jpg","-1.276928","116.84537","Golden Tulip Balikpapan Hotel & Suites","643","155","+62 542 733999","$","Rp 687.000 - Rp 851.000","122","8","No. 8 dari 122 hotel di Balikpapan","3.5","HOTEL","https://www.tripadvisor.co.id/Hotel_Review-g317100-d1566319-Reviews-Golden_Tulip_Balikpapan_Hotel_Suites-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.goldentulipbalikpapan.com"
