"address","category","cuisine/0","cuisine/1","cuisine/2","cuisine/3","cuisine/4","cuisine/5","cuisine/6","cuisine/7","cuisine/8","dietaryRestrictions/0","dietaryRestrictions/1","dietaryRestrictions/2","dietaryRestrictions/3","email","hotelClass","hotelClassAttribution","hours/0/0/close","hours/0/0/open","hours/0/1/close","hours/0/1/open","hours/1/0/close","hours/1/0/open","hours/1/1/close","hours/1/1/open","hours/2/0/close","hours/2/0/open","hours/2/1/close","hours/2/1/open","hours/3/0/close","hours/3/0/open","hours/3/1/close","hours/3/1/open","hours/4/0/close","hours/4/0/open","hours/4/1/close","hours/4/1/open","hours/5/0/close","hours/5/0/open","hours/5/1/close","hours/5/1/open","hours/6/0/close","hours/6/0/open","hours/6/1/close","hours/6/1/open","id","image","isClosed","isLongClosed","latitude","longitude","name","numberOfReviews","numberOfRooms","phone","priceLevel","priceRange","rankingDenominator","rankingPosition","rankingString","rating","type","webUrl","website"
"Jln. Soekarno Hatta No. 28, Balikpapan 76125 Indonesia","hotel",,,,,,,,,,,,,,"infobpn@platinumhotelindonesia.com","4.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9709578","https://media-cdn.tripadvisor.com/media/photo-o/12/54/75/49/platinum-hotel-convention.jpg",,,"-1.240969","116.83813","Platinum Hotel & Convention Hall Balikpapan","409","200","+62 542 8830228","$","$48 - $71","122","1","#1 of 122 hotels in Balikpapan","4.5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d9709578-Reviews-Platinum_Hotel_Convention_Hall_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://platinumhotelindonesia.com/"
"Jl. Mayjen Sutoyo no. 67, Balikpapan 76122 Indonesia","hotel",,,,,,,,,,,,,,"balikpapaninfo@neohotels.com","3.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11911745","https://media-cdn.tripadvisor.com/media/photo-o/0e/0d/03/a1/neo-balikpapan-deluxe.jpg",,,"-1.262808","116.84035","Hotel Neo+ Balikpapan","102","101","+62 542 8515000","$","$31 - $38","122","9","#9 of 122 hotels in Balikpapan","4","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d11911745-Reviews-Hotel_Neo_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.neohotels.com/en/location/overview/63/Hotel-NEO--Balikpapan"
"Jl. MT. Haryono no. 78 Daerah DAM, Belakang Hanking Donat, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,"Balikpapaninfo@favehotels.com","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3853695","https://media-cdn.tripadvisor.com/media/photo-o/03/78/c5/1c/getlstd-property-photo.jpg",,,"-1.266061","116.85731","favehotel MT. Haryono","351","112","+62 542 7585999","$","$29 - $31","122","5","#5 of 122 hotels in Balikpapan","4","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d3853695-Reviews-Favehotel_MT_Haryono-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.favehotels.com/en/hotel/view/38/favehotel-m-t--haryono"
"Jalan Jenderal Sudirman Balikpapan Ocean Square, Pasar Baru, Balikpapan 76113 Indonesia","hotel",,,,,,,,,,,,,,"resvsbbk@swiss-belhotel.com","4.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4994697","https://media-cdn.tripadvisor.com/media/photo-o/29/30/5d/cb/bedroom.jpg",,,"-1.277759","116.841034","Swiss-Belhotel Balikpapan","477","230","+62 542 7582800","$","$40 - $49","122","4","#4 of 122 hotels in Balikpapan","4","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d4994697-Reviews-Swiss_Belhotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.swiss-belhotel.com/en-gb/swiss-belhotel-balikpapan"
"Jln. Marsma Iswahyadi No. 21, Balikpapan 76115 Indonesia","hotel",,,,,,,,,,,,,,"reservation.balikpapan@grandtjokro.com","4.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9455339","https://media-cdn.tripadvisor.com/media/photo-o/0a/96/1c/bd/grand-tjokro-balikpapan.jpg",,,"-1.262442","116.89375","Grand Tjokro Balikpapan","130","148","+62 542 8521111","$","$32 - $41","122","10","#10 of 122 hotels in Balikpapan","4","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d9455339-Reviews-Grand_Tjokro_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://grandtjokro.com/balikpapan/"
"Jl. Jend. Sudirman no. 7 Grand Sudirman Balikpapan, Balikpapan 76114 Indonesia","hotel",,,,,,,,,,,,,,"reservation@gtbalikpapan.com","4.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1566319","https://media-cdn.tripadvisor.com/media/photo-o/1b/99/7c/ba/golden-tulip-balikpapan.jpg",,,"-1.276928","116.84537","Golden Tulip Balikpapan Hotel & Suites","643","155","+62 542 733999","$","$46 - $57","122","8","#8 of 122 hotels in Balikpapan","3.5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d1566319-Reviews-Golden_Tulip_Balikpapan_Hotel_Suites-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.goldentulipbalikpapan.com"
"Jl. Pelita No. 19 Sepinggan Raya, Balikpapan Selatan, Balikpapan 76115 Indonesia","hotel",,,,,,,,,,,,,,"risco.sianturi@fourpoints.com","4.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17596271","https://media-cdn.tripadvisor.com/media/photo-o/29/29/ce/b4/exterior.jpg",,,"-1.256732","116.9002","Four Points by Sheraton Balikpapan","129","138","011625428525888","$","$53 - $72","122","2","#2 of 122 hotels in Balikpapan","5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d17596271-Reviews-Four_Points_by_Sheraton_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.marriott.com/hotels/travel/bpnfp-four-points-balikpapan/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe&y_source=1_MTMyMTE4OTUtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D"
"Jl. Jenderal Sudirman no. 47 Balikpapan Superblock, Balikpapan 76112 Indonesia","hotel",,,,,,,,,,,,,,"reservation@jatrahotelbalikpapan.com","4.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1953153","https://media-cdn.tripadvisor.com/media/photo-o/07/ba/79/50/grand-jatra-hotel.jpg",,,"-1.273157","116.8594","Grand Jatra Hotel Balikpapan","415","215","+62 542 7213888","$","$62 - $74","122","7","#7 of 122 hotels in Balikpapan","4","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d1953153-Reviews-Grand_Jatra_Hotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.jatrahotels.com/grandjatra-balikpapan/"
"Jl. Letjen Suprapto no. 1, Balikpapan 76131 Indonesia","hotel",,,,,,,,,,,,,,"info@blueskygroups.com","4.0","This property is classified according to Giata.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1746523","https://media-cdn.tripadvisor.com/media/photo-o/22/52/3f/53/executive-suite-double.jpg",,,"-1.2384","116.8273","Blue Sky Hotel","220","170","01162542735845","$","$38 - $45","122","3","#3 of 122 hotels in Balikpapan","4","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d1746523-Reviews-Blue_Sky_Hotel-Balikpapan_East_Kalimantan_Kalimantan.html","https://www.blue-sky.co.id/"
"Jl. Brigjen Eri Suparjan no. 2, Balikpapan 76112 Indonesia","hotel",,,,,,,,,,,,,,"reservation@novotelbalikpapan.com","5.0","This property is classified according to Accor Hotels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"634383","https://media-cdn.tripadvisor.com/media/photo-o/23/b0/bf/b2/exterior-view.jpg",,,"-1.275863","116.83478","Novotel Balikpapan","632","198","+62 542 733111","$","$46 - $52","122","6","#6 of 122 hotels in Balikpapan","3.5","HOTEL","https://www.tripadvisor.com/Hotel_Review-g317100-d634383-Reviews-Novotel_Balikpapan-Balikpapan_East_Kalimantan_Kalimantan.html","http://www.accorhotels.com/gb/hotel-6445-novotel-balikpapan/index.shtml"
