,Date,Day,Temp,Wind,Weather
0,2015-01-01,1,27.6,55.2,Cloudy
1,2015-01-02,2,27.6,55.2,Cloudy
2,2015-01-03,3,27.6,55.2,Rain
3,2015-01-04,4,27.6,55.2,Cloudy
4,2015-01-05,5,27.6,55.2,Cloudy
5,2015-01-06,6,27.6,55.2,Sunny
6,2015-01-07,7,27.6,55.2,Cloudy
7,2015-01-08,8,27.6,55.2,Rain
8,2015-01-09,9,27.6,55.2,Rain
9,2015-01-10,10,27.6,55.2,Cloudy
10,2015-01-11,11,27.6,55.2,Sunny
11,2015-01-12,12,27.6,55.2,Sunny
12,2015-01-13,13,27.6,55.2,Cloudy
13,2015-01-14,14,27.6,55.2,Cloudy
14,2015-01-15,15,27.6,55.2,Sunny
15,2015-01-16,16,27.6,55.2,Sunny
16,2015-01-17,17,27.6,55.2,Cloudy
17,2015-01-18,18,27.6,55.2,Cloudy
18,2015-01-19,19,27.6,55.2,Rain
19,2015-01-20,20,27.6,55.2,Sunny
20,2015-01-21,21,27.6,55.2,Cloudy
21,2015-01-22,22,27.6,55.2,Rain
22,2015-01-23,23,27.6,55.2,Sunny
23,2015-01-24,24,27.6,55.2,Rain
24,2015-01-25,25,27.6,55.2,Cloudy
25,2015-01-26,26,27.6,55.2,Sunny
26,2015-01-27,27,27.6,55.2,Cloudy
27,2015-01-28,28,27.6,55.2,Rain
28,2015-01-29,29,27.6,55.2,Cloudy
29,2015-01-30,30,27.6,55.2,Sunny
30,2015-01-31,31,27.6,55.2,Cloudy
31,2015-02-01,1,27.3,54.6,Sunny
32,2015-02-02,2,27.3,54.6,Rain
33,2015-02-03,3,27.3,54.6,Sunny
34,2015-02-04,4,27.3,54.6,Rain
35,2015-02-05,5,27.3,54.6,Cloudy
36,2015-02-06,6,27.3,54.6,Sunny
37,2015-02-07,7,27.3,54.6,Sunny
38,2015-02-08,8,27.3,54.6,Sunny
39,2015-02-09,9,27.3,54.6,Cloudy
40,2015-02-10,10,27.3,54.6,Rain
41,2015-02-11,11,27.3,54.6,Cloudy
42,2015-02-12,12,27.3,54.6,Sunny
43,2015-02-13,13,27.3,54.6,Cloudy
44,2015-02-14,14,27.3,54.6,Cloudy
45,2015-02-15,15,27.3,54.6,Cloudy
46,2015-02-16,16,27.3,54.6,Sunny
47,2015-02-17,17,27.3,54.6,Cloudy
48,2015-02-18,18,27.3,54.6,Rain
49,2015-02-19,19,27.3,54.6,Cloudy
50,2015-02-20,20,27.3,54.6,Rain
51,2015-02-21,21,27.3,54.6,Cloudy
52,2015-02-22,22,27.3,54.6,Cloudy
53,2015-02-23,23,27.3,54.6,Rain
54,2015-02-24,24,27.3,54.6,Rain
55,2015-02-25,25,27.3,54.6,Rain
56,2015-02-26,26,27.3,54.6,Sunny
57,2015-02-27,27,27.3,54.6,Cloudy
58,2015-02-28,28,27.3,54.6,Rain
59,2015-03-01,1,27.6,55.2,Sunny
60,2015-03-02,2,27.6,55.2,Sunny
61,2015-03-03,3,27.6,55.2,Cloudy
62,2015-03-04,4,27.6,55.2,Rain
63,2015-03-05,5,27.6,55.2,Rain
64,2015-03-06,6,27.6,55.2,Sunny
65,2015-03-07,7,27.6,55.2,Cloudy
66,2015-03-08,8,27.6,55.2,Rain
67,2015-03-09,9,27.6,55.2,Rain
68,2015-03-10,10,27.6,55.2,Cloudy
69,2015-03-11,11,27.6,55.2,Sunny
70,2015-03-12,12,27.6,55.2,Rain
71,2015-03-13,13,27.6,55.2,Rain
72,2015-03-14,14,27.6,55.2,Sunny
73,2015-03-15,15,27.6,55.2,Cloudy
74,2015-03-16,16,27.6,55.2,Sunny
75,2015-03-17,17,27.6,55.2,Cloudy
76,2015-03-18,18,27.6,55.2,Sunny
77,2015-03-19,19,27.6,55.2,Sunny
78,2015-03-20,20,27.6,55.2,Rain
79,2015-03-21,21,27.6,55.2,Cloudy
80,2015-03-22,22,27.6,55.2,Cloudy
81,2015-03-23,23,27.6,55.2,Sunny
82,2015-03-24,24,27.6,55.2,Cloudy
83,2015-03-25,25,27.6,55.2,Cloudy
84,2015-03-26,26,27.6,55.2,Cloudy
85,2015-03-27,27,27.6,55.2,Sunny
86,2015-03-28,28,27.6,55.2,Sunny
87,2015-03-29,29,27.6,55.2,Cloudy
88,2015-03-30,30,27.6,55.2,Cloudy
89,2015-03-31,31,27.6,55.2,Rain
90,2016-01-01,1,27.6,55.2,Sunny
91,2016-01-02,2,27.6,55.2,Sunny
92,2016-01-03,3,27.6,55.2,Rain
93,2016-01-04,4,27.6,55.2,Rain
94,2016-01-05,5,27.6,55.2,Sunny
95,2016-01-06,6,27.6,55.2,Sunny
96,2016-01-07,7,27.6,55.2,Rain
97,2016-01-08,8,27.6,55.2,Cloudy
98,2016-01-09,9,27.6,55.2,Sunny
99,2016-01-10,10,27.6,55.2,Cloudy
100,2016-01-11,11,27.6,55.2,Cloudy
101,2016-01-12,12,27.6,55.2,Sunny
102,2016-01-13,13,27.6,55.2,Sunny
103,2016-01-14,14,27.6,55.2,Rain
104,2016-01-15,15,27.6,55.2,Rain
105,2016-01-16,16,27.6,55.2,Sunny
106,2016-01-17,17,27.6,55.2,Sunny
107,2016-01-18,18,27.6,55.2,Cloudy
108,2016-01-19,19,27.6,55.2,Rain
109,2016-01-20,20,27.6,55.2,Rain
110,2016-01-21,21,27.6,55.2,Rain
111,2016-01-22,22,27.6,55.2,Rain
112,2016-01-23,23,27.6,55.2,Rain
113,2016-01-24,24,27.6,55.2,Cloudy
114,2016-01-25,25,27.6,55.2,Sunny
115,2016-01-26,26,27.6,55.2,Rain
116,2016-01-27,27,27.6,55.2,Rain
117,2016-01-28,28,27.6,55.2,Rain
118,2016-01-29,29,27.6,55.2,Cloudy
119,2016-01-30,30,27.6,55.2,Cloudy
120,2016-01-31,31,27.6,55.2,Rain
121,2016-02-01,1,27.9,55.8,Sunny
122,2016-02-02,2,27.9,55.8,Cloudy
123,2016-02-03,3,27.9,55.8,Sunny
124,2016-02-04,4,27.9,55.8,Rain
125,2016-02-05,5,27.9,55.8,Rain
126,2016-02-06,6,27.9,55.8,Cloudy
127,2016-02-07,7,27.9,55.8,Sunny
