,Date,Day,Temp,Wind,Weather
0,2015-01-01,1,26.6,53.2,Sunny
1,2015-01-02,2,26.6,53.2,Sunny
2,2015-01-03,3,26.6,53.2,Rain
3,2015-01-04,4,26.6,53.2,Cloudy
4,2015-01-05,5,26.6,53.2,Rain
5,2015-01-06,6,26.6,53.2,Rain
6,2015-01-07,7,26.6,53.2,Sunny
7,2015-01-08,8,26.6,53.2,Rain
8,2015-01-09,9,26.6,53.2,Sunny
9,2015-01-10,10,26.6,53.2,Cloudy
10,2015-01-11,11,26.6,53.2,Cloudy
11,2015-01-12,12,26.6,53.2,Rain
12,2015-01-13,13,26.6,53.2,Cloudy
13,2015-01-14,14,26.6,53.2,Cloudy
14,2015-01-15,15,26.6,53.2,Sunny
15,2015-01-16,16,26.6,53.2,Sunny
16,2015-01-17,17,26.6,53.2,Sunny
17,2015-01-18,18,26.6,53.2,Rain
18,2015-01-19,19,26.6,53.2,Sunny
19,2015-01-20,20,26.6,53.2,Rain
20,2015-01-21,21,26.6,53.2,Cloudy
21,2015-01-22,22,26.6,53.2,Rain
22,2015-01-23,23,26.6,53.2,Rain
23,2015-01-24,24,26.6,53.2,Rain
24,2015-01-25,25,26.6,53.2,Rain
25,2015-01-26,26,26.6,53.2,Cloudy
26,2015-01-27,27,26.6,53.2,Rain
27,2015-01-28,28,26.6,53.2,Cloudy
28,2015-01-29,29,26.6,53.2,Cloudy
29,2015-01-30,30,26.6,53.2,Cloudy
30,2015-01-31,31,26.6,53.2,Sunny
31,2015-02-01,1,26.4,52.8,Rain
32,2015-02-02,2,26.4,52.8,Cloudy
33,2015-02-03,3,26.4,52.8,Rain
34,2015-02-04,4,26.4,52.8,Sunny
35,2015-02-05,5,26.4,52.8,Sunny
36,2015-02-06,6,26.4,52.8,Cloudy
37,2015-02-07,7,26.4,52.8,Sunny
38,2015-02-08,8,26.4,52.8,Sunny
39,2015-02-09,9,26.4,52.8,Sunny
40,2015-02-10,10,26.4,52.8,Rain
41,2015-02-11,11,26.4,52.8,Rain
42,2015-02-12,12,26.4,52.8,Rain
43,2015-02-13,13,26.4,52.8,Sunny
44,2015-02-14,14,26.4,52.8,Sunny
45,2015-02-15,15,26.4,52.8,Sunny
46,2015-02-16,16,26.4,52.8,Cloudy
47,2015-02-17,17,26.4,52.8,Rain
48,2015-02-18,18,26.4,52.8,Cloudy
49,2015-02-19,19,26.4,52.8,Cloudy
50,2015-02-20,20,26.4,52.8,Cloudy
51,2015-02-21,21,26.4,52.8,Cloudy
52,2015-02-22,22,26.4,52.8,Sunny
53,2015-02-23,23,26.4,52.8,Rain
54,2015-02-24,24,26.4,52.8,Sunny
55,2015-02-25,25,26.4,52.8,Sunny
56,2015-02-26,26,26.4,52.8,Sunny
57,2015-02-27,27,26.4,52.8,Sunny
58,2015-02-28,28,26.4,52.8,Sunny
59,2015-03-01,1,26.0,52.0,Cloudy
60,2015-03-02,2,26.0,52.0,Cloudy
61,2015-03-03,3,26.0,52.0,Sunny
62,2015-03-04,4,26.0,52.0,Sunny
63,2015-03-05,5,26.0,52.0,Rain
64,2015-03-06,6,26.0,52.0,Rain
65,2015-03-07,7,26.0,52.0,Sunny
66,2015-03-08,8,26.0,52.0,Sunny
67,2015-03-09,9,26.0,52.0,Cloudy
68,2015-03-10,10,26.0,52.0,Sunny
69,2015-03-11,11,26.0,52.0,Rain
70,2015-03-12,12,26.0,52.0,Sunny
