,Date,Day,Temp,Wind,Weather
0,2015-01-01,1,26.2,52.4,Sunny
1,2015-01-02,2,26.2,52.4,Cloudy
2,2015-01-03,3,26.2,52.4,Sunny
3,2015-01-04,4,26.2,52.4,Sunny
4,2015-01-05,5,26.2,52.4,Rain
5,2015-01-06,6,26.2,52.4,Cloudy
6,2015-01-07,7,26.2,52.4,Sunny
7,2015-01-08,8,26.2,52.4,Cloudy
8,2015-01-09,9,26.2,52.4,Cloudy
9,2015-01-10,10,26.2,52.4,Rain
10,2015-01-11,11,26.2,52.4,Sunny
11,2015-01-12,12,26.2,52.4,Cloudy
12,2015-01-13,13,26.2,52.4,Rain
13,2015-01-14,14,26.2,52.4,Cloudy
14,2015-01-15,15,26.2,52.4,Cloudy
15,2015-01-16,16,26.2,52.4,Rain
16,2015-01-17,17,26.2,52.4,Cloudy
17,2015-01-18,18,26.2,52.4,Cloudy
18,2015-01-19,19,26.2,52.4,Sunny
19,2015-01-20,20,26.2,52.4,Cloudy
20,2015-01-21,21,26.2,52.4,Cloudy
21,2015-01-22,22,26.2,52.4,Cloudy
22,2015-01-23,23,26.2,52.4,Sunny
23,2015-01-24,24,26.2,52.4,Cloudy
24,2015-01-25,25,26.2,52.4,Rain
25,2015-01-26,26,26.2,52.4,Rain
26,2015-01-27,27,26.2,52.4,Cloudy
27,2015-01-28,28,26.2,52.4,Sunny
28,2015-01-29,29,26.2,52.4,Sunny
29,2015-01-30,30,26.2,52.4,Sunny
30,2015-01-31,31,26.2,52.4,Rain
31,2015-02-01,1,26.4,52.8,Sunny
32,2015-02-02,2,26.4,52.8,Rain
33,2015-02-03,3,26.4,52.8,Sunny
34,2015-02-04,4,26.4,52.8,Sunny
35,2015-02-05,5,26.4,52.8,Rain
36,2015-02-06,6,26.4,52.8,Rain
37,2015-02-07,7,26.4,52.8,Sunny
38,2015-02-08,8,26.4,52.8,Sunny
39,2015-02-09,9,26.4,52.8,Rain
40,2015-02-10,10,26.4,52.8,Rain
41,2015-02-11,11,26.4,52.8,Rain
42,2015-02-12,12,26.4,52.8,Rain
43,2015-02-13,13,26.4,52.8,Rain
44,2015-02-14,14,26.4,52.8,Rain
45,2015-02-15,15,26.4,52.8,Sunny
46,2015-02-16,16,26.4,52.8,Sunny
47,2015-02-17,17,26.4,52.8,Rain
48,2015-02-18,18,26.4,52.8,Rain
