,Date,Day,Temp,Wind,Weather
0,2015-01-01,1,26.6,53.2,Rain
1,2015-01-02,2,26.6,53.2,Rain
2,2015-01-03,3,26.6,53.2,Cloudy
3,2015-01-04,4,26.6,53.2,Rain
4,2015-01-05,5,26.6,53.2,Cloudy
5,2015-01-06,6,26.6,53.2,Sunny
6,2015-01-07,7,26.6,53.2,Sunny
7,2015-01-08,8,26.6,53.2,Sunny
8,2015-01-09,9,26.6,53.2,Sunny
9,2015-01-10,10,26.6,53.2,Rain
10,2015-01-11,11,26.6,53.2,Cloudy
11,2015-01-12,12,26.6,53.2,Rain
12,2015-01-13,13,26.6,53.2,Cloudy
13,2015-01-14,14,26.6,53.2,Sunny
14,2015-01-15,15,26.6,53.2,Cloudy
15,2015-01-16,16,26.6,53.2,Rain
16,2015-01-17,17,26.6,53.2,Rain
17,2015-01-18,18,26.6,53.2,Rain
18,2015-01-19,19,26.6,53.2,Rain
19,2015-01-20,20,26.6,53.2,Sunny
20,2015-01-21,21,26.6,53.2,Cloudy
21,2015-01-22,22,26.6,53.2,Sunny
22,2015-01-23,23,26.6,53.2,Rain
23,2015-01-24,24,26.6,53.2,Sunny
24,2015-01-25,25,26.6,53.2,Rain
25,2015-01-26,26,26.6,53.2,Rain
26,2015-01-27,27,26.6,53.2,Cloudy
27,2015-01-28,28,26.6,53.2,Cloudy
28,2015-01-29,29,26.6,53.2,Sunny
29,2015-01-30,30,26.6,53.2,Cloudy
30,2015-01-31,31,26.6,53.2,Rain
31,2015-02-01,1,26.4,52.8,Sunny
32,2015-02-02,2,26.4,52.8,Cloudy
33,2015-02-03,3,26.4,52.8,Cloudy
34,2015-02-04,4,26.4,52.8,Cloudy
35,2015-02-05,5,26.4,52.8,Rain
36,2015-02-06,6,26.4,52.8,Rain
37,2015-02-07,7,26.4,52.8,Rain
38,2015-02-08,8,26.4,52.8,Cloudy
39,2015-02-09,9,26.4,52.8,Rain
40,2015-02-10,10,26.4,52.8,Rain
41,2015-02-11,11,26.4,52.8,Sunny
42,2015-02-12,12,26.4,52.8,Sunny
43,2015-02-13,13,26.4,52.8,Rain
44,2015-02-14,14,26.4,52.8,Sunny
45,2015-02-15,15,26.4,52.8,Cloudy
46,2015-02-16,16,26.4,52.8,Rain
47,2015-02-17,17,26.4,52.8,Rain
48,2015-02-18,18,26.4,52.8,Cloudy
49,2015-02-19,19,26.4,52.8,Sunny
50,2015-02-20,20,26.4,52.8,Rain
51,2015-02-21,21,26.4,52.8,Rain
52,2015-02-22,22,26.4,52.8,Cloudy
53,2015-02-23,23,26.4,52.8,Rain
54,2015-02-24,24,26.4,52.8,Cloudy
55,2015-02-25,25,26.4,52.8,Rain
56,2015-02-26,26,26.4,52.8,Rain
57,2015-02-27,27,26.4,52.8,Cloudy
58,2015-02-28,28,26.4,52.8,Cloudy
59,2015-03-01,1,26.2,52.4,Sunny
60,2015-03-02,2,26.2,52.4,Cloudy
61,2015-03-03,3,26.2,52.4,Sunny
62,2015-03-04,4,26.2,52.4,Rain
63,2015-03-05,5,26.2,52.4,Rain
64,2015-03-06,6,26.2,52.4,Sunny
65,2015-03-07,7,26.2,52.4,Cloudy
66,2015-03-08,8,26.2,52.4,Cloudy
67,2015-03-09,9,26.2,52.4,Cloudy
68,2015-03-10,10,26.2,52.4,Rain
69,2015-03-11,11,26.2,52.4,Rain
70,2015-03-12,12,26.2,52.4,Cloudy
71,2015-03-13,13,26.2,52.4,Cloudy
72,2015-03-14,14,26.2,52.4,Rain
73,2015-03-15,15,26.2,52.4,Sunny
74,2015-03-16,16,26.2,52.4,Sunny
75,2015-03-17,17,26.2,52.4,Sunny
76,2015-03-18,18,26.2,52.4,Rain
77,2015-03-19,19,26.2,52.4,Sunny
78,2015-03-20,20,26.2,52.4,Cloudy
79,2015-03-21,21,26.2,52.4,Sunny
80,2015-03-22,22,26.2,52.4,Sunny
81,2015-03-23,23,26.2,52.4,Cloudy
82,2015-03-24,24,26.2,52.4,Sunny
83,2015-03-25,25,26.2,52.4,Rain
84,2015-03-26,26,26.2,52.4,Rain
85,2015-03-27,27,26.2,52.4,Sunny
86,2015-03-28,28,26.2,52.4,Sunny
87,2015-03-29,29,26.2,52.4,Sunny
88,2015-03-30,30,26.2,52.4,Rain
89,2015-03-31,31,26.2,52.4,Sunny
90,2016-01-01,1,26.6,53.2,Rain
91,2016-01-02,2,26.6,53.2,Rain
92,2016-01-03,3,26.6,53.2,Sunny
93,2016-01-04,4,26.6,53.2,Cloudy
94,2016-01-05,5,26.6,53.2,Sunny
95,2016-01-06,6,26.6,53.2,Cloudy
96,2016-01-07,7,26.6,53.2,Rain
97,2016-01-08,8,26.6,53.2,Cloudy
98,2016-01-09,9,26.6,53.2,Sunny
99,2016-01-10,10,26.6,53.2,Cloudy
100,2016-01-11,11,26.6,53.2,Sunny
101,2016-01-12,12,26.6,53.2,Rain
102,2016-01-13,13,26.6,53.2,Sunny
103,2016-01-14,14,26.6,53.2,Sunny
104,2016-01-15,15,26.6,53.2,Sunny
105,2016-01-16,16,26.6,53.2,Rain
106,2016-01-17,17,26.6,53.2,Sunny
107,2016-01-18,18,26.6,53.2,Sunny
108,2016-01-19,19,26.6,53.2,Sunny
109,2016-01-20,20,26.6,53.2,Rain
