,Date,Day,Temp,Wind,Weather
0,2015-01-01,1,27.6,55.2,Sunny
1,2015-01-02,2,27.6,55.2,Rain
2,2015-01-03,3,27.6,55.2,Cloudy
3,2015-01-04,4,27.6,55.2,Cloudy
4,2015-01-05,5,27.6,55.2,Cloudy
5,2015-01-06,6,27.6,55.2,Rain
6,2015-01-07,7,27.6,55.2,Rain
7,2015-01-08,8,27.6,55.2,Cloudy
8,2015-01-09,9,27.6,55.2,Rain
9,2015-01-10,10,27.6,55.2,Cloudy
10,2015-01-11,11,27.6,55.2,Rain
11,2015-01-12,12,27.6,55.2,Sunny
12,2015-01-13,13,27.6,55.2,Rain
13,2015-01-14,14,27.6,55.2,Rain
14,2015-01-15,15,27.6,55.2,Cloudy
15,2015-01-16,16,27.6,55.2,Rain
16,2015-01-17,17,27.6,55.2,Sunny
17,2015-01-18,18,27.6,55.2,Cloudy
18,2015-01-19,19,27.6,55.2,Sunny
19,2015-01-20,20,27.6,55.2,Sunny
20,2015-01-21,21,27.6,55.2,Rain
21,2015-01-22,22,27.6,55.2,Sunny
22,2015-01-23,23,27.6,55.2,Rain
23,2015-01-24,24,27.6,55.2,Rain
24,2015-01-25,25,27.6,55.2,Sunny
25,2015-01-26,26,27.6,55.2,Rain
26,2015-01-27,27,27.6,55.2,Cloudy
27,2015-01-28,28,27.6,55.2,Rain
28,2015-01-29,29,27.6,55.2,Sunny
29,2015-01-30,30,27.6,55.2,Cloudy
30,2015-01-31,31,27.6,55.2,Sunny
31,2015-02-01,1,29.2,58.4,Sunny
32,2015-02-02,2,29.2,58.4,Rain
33,2015-02-03,3,29.2,58.4,Cloudy
34,2015-02-04,4,29.2,58.4,Cloudy
35,2015-02-05,5,29.2,58.4,Rain
36,2015-02-06,6,29.2,58.4,Rain
37,2015-02-07,7,29.2,58.4,Rain
38,2015-02-08,8,29.2,58.4,Rain
39,2015-02-09,9,29.2,58.4,Cloudy
40,2015-02-10,10,29.2,58.4,Cloudy
41,2015-02-11,11,29.2,58.4,Cloudy
42,2015-02-12,12,29.2,58.4,Cloudy
43,2015-02-13,13,29.2,58.4,Rain
44,2015-02-14,14,29.2,58.4,Cloudy
45,2015-02-15,15,29.2,58.4,Rain
46,2015-02-16,16,29.2,58.4,Cloudy
47,2015-02-17,17,29.2,58.4,Rain
48,2015-02-18,18,29.2,58.4,Sunny
49,2015-02-19,19,29.2,58.4,Sunny
50,2015-02-20,20,29.2,58.4,Sunny
51,2015-02-21,21,29.2,58.4,Sunny
52,2015-02-22,22,29.2,58.4,Sunny
53,2015-02-23,23,29.2,58.4,Rain
54,2015-02-24,24,29.2,58.4,Cloudy
55,2015-02-25,25,29.2,58.4,Cloudy
56,2015-02-26,26,29.2,58.4,Sunny
57,2015-02-27,27,29.2,58.4,Sunny
58,2015-02-28,28,29.2,58.4,Rain
59,2015-03-01,1,28.2,56.4,Sunny
60,2015-03-02,2,28.2,56.4,Rain
61,2015-03-03,3,28.2,56.4,Sunny
62,2015-03-04,4,28.2,56.4,Rain
63,2015-03-05,5,28.2,56.4,Rain
64,2015-03-06,6,28.2,56.4,Sunny
65,2015-03-07,7,28.2,56.4,Rain
66,2015-03-08,8,28.2,56.4,Rain
67,2015-03-09,9,28.2,56.4,Rain
68,2015-03-10,10,28.2,56.4,Rain
69,2015-03-11,11,28.2,56.4,Sunny
70,2015-03-12,12,28.2,56.4,Sunny
71,2015-03-13,13,28.2,56.4,Rain
72,2015-03-14,14,28.2,56.4,Rain
73,2015-03-15,15,28.2,56.4,Cloudy
74,2015-03-16,16,28.2,56.4,Rain
75,2015-03-17,17,28.2,56.4,Rain
76,2015-03-18,18,28.2,56.4,Cloudy
77,2015-03-19,19,28.2,56.4,Cloudy
78,2015-03-20,20,28.2,56.4,Rain
79,2015-03-21,21,28.2,56.4,Sunny
80,2015-03-22,22,28.2,56.4,Cloudy
81,2015-03-23,23,28.2,56.4,Rain
82,2015-03-24,24,28.2,56.4,Cloudy
83,2015-03-25,25,28.2,56.4,Rain
84,2015-03-26,26,28.2,56.4,Cloudy
85,2015-03-27,27,28.2,56.4,Sunny
86,2015-03-28,28,28.2,56.4,Sunny
87,2015-03-29,29,28.2,56.4,Cloudy
88,2015-03-30,30,28.2,56.4,Cloudy
89,2015-03-31,31,28.2,56.4,Cloudy
90,2016-01-01,1,27.6,55.2,Cloudy
91,2016-01-02,2,27.6,55.2,Sunny
92,2016-01-03,3,27.6,55.2,Sunny
93,2016-01-04,4,27.6,55.2,Cloudy
94,2016-01-05,5,27.6,55.2,Rain
95,2016-01-06,6,27.6,55.2,Rain
96,2016-01-07,7,27.6,55.2,Sunny
97,2016-01-08,8,27.6,55.2,Rain
98,2016-01-09,9,27.6,55.2,Rain
99,2016-01-10,10,27.6,55.2,Sunny
100,2016-01-11,11,27.6,55.2,Rain
101,2016-01-12,12,27.6,55.2,Sunny
102,2016-01-13,13,27.6,55.2,Cloudy
103,2016-01-14,14,27.6,55.2,Cloudy
104,2016-01-15,15,27.6,55.2,Cloudy
105,2016-01-16,16,27.6,55.2,Sunny
106,2016-01-17,17,27.6,55.2,Cloudy
107,2016-01-18,18,27.6,55.2,Cloudy
108,2016-01-19,19,27.6,55.2,Sunny
109,2016-01-20,20,27.6,55.2,Rain
110,2016-01-21,21,27.6,55.2,Rain
111,2016-01-22,22,27.6,55.2,Rain
112,2016-01-23,23,27.6,55.2,Sunny
113,2016-01-24,24,27.6,55.2,Sunny
114,2016-01-25,25,27.6,55.2,Sunny
115,2016-01-26,26,27.6,55.2,Sunny
116,2016-01-27,27,27.6,55.2,Sunny
117,2016-01-28,28,27.6,55.2,Sunny
118,2016-01-29,29,27.6,55.2,Cloudy
119,2016-01-30,30,27.6,55.2,Rain
120,2016-01-31,31,27.6,55.2,Cloudy
121,2016-02-01,1,30.1,60.2,Sunny
122,2016-02-02,2,30.1,60.2,Sunny
123,2016-02-03,3,30.1,60.2,Cloudy
124,2016-02-04,4,30.1,60.2,Sunny
125,2016-02-05,5,30.1,60.2,Rain
126,2016-02-06,6,30.1,60.2,Cloudy
127,2016-02-07,7,30.1,60.2,Rain
128,2016-02-08,8,30.1,60.2,Sunny
129,2016-02-09,9,30.1,60.2,Cloudy
130,2016-02-10,10,30.1,60.2,Rain
131,2016-02-11,11,30.1,60.2,Sunny
132,2016-02-12,12,30.1,60.2,Rain
133,2016-02-13,13,30.1,60.2,Rain
134,2016-02-14,14,30.1,60.2,Sunny
135,2016-02-15,15,30.1,60.2,Cloudy
136,2016-02-16,16,30.1,60.2,Cloudy
137,2016-02-17,17,30.1,60.2,Sunny
138,2016-02-18,18,30.1,60.2,Cloudy
139,2016-02-19,19,30.1,60.2,Cloudy
140,2016-02-20,20,30.1,60.2,Sunny
141,2016-02-21,21,30.1,60.2,Rain
142,2016-02-22,22,30.1,60.2,Sunny
143,2016-02-23,23,30.1,60.2,Cloudy
144,2016-02-24,24,30.1,60.2,Rain
145,2016-02-25,25,30.1,60.2,Cloudy
146,2016-02-26,26,30.1,60.2,Cloudy
147,2016-02-27,27,30.1,60.2,Rain
148,2016-02-28,28,30.1,60.2,Rain
149,2016-02-29,29,30.1,60.2,Sunny
150,2016-03-01,1,28.6,57.2,Cloudy
151,2016-03-02,2,28.6,57.2,Cloudy
152,2016-03-03,3,28.6,57.2,Sunny
153,2016-03-04,4,28.6,57.2,Sunny
154,2016-03-05,5,28.6,57.2,Cloudy
155,2016-03-06,6,28.6,57.2,Cloudy
156,2016-03-07,7,28.6,57.2,Cloudy
157,2016-03-08,8,28.6,57.2,Sunny
158,2016-03-09,9,28.6,57.2,Rain
159,2016-03-10,10,28.6,57.2,Cloudy
160,2016-03-11,11,28.6,57.2,Cloudy
161,2016-03-12,12,28.6,57.2,Sunny
162,2016-03-13,13,28.6,57.2,Cloudy
163,2016-03-14,14,28.6,57.2,Rain
164,2016-03-15,15,28.6,57.2,Rain
165,2016-03-16,16,28.6,57.2,Rain
166,2016-03-17,17,28.6,57.2,Cloudy
167,2016-03-18,18,28.6,57.2,Rain
168,2016-03-19,19,28.6,57.2,Sunny
169,2016-03-20,20,28.6,57.2,Sunny
170,2016-03-21,21,28.6,57.2,Sunny
171,2016-03-22,22,28.6,57.2,Sunny
172,2016-03-23,23,28.6,57.2,Sunny
173,2016-03-24,24,28.6,57.2,Rain
174,2016-03-25,25,28.6,57.2,Rain
175,2016-03-26,26,28.6,57.2,Rain
176,2016-03-27,27,28.6,57.2,Rain
177,2016-03-28,28,28.6,57.2,Rain
178,2016-03-29,29,28.6,57.2,Sunny
179,2016-03-30,30,28.6,57.2,Rain
180,2016-03-31,31,28.6,57.2,Sunny
181,2017-01-01,1,27.9,55.8,Cloudy
182,2017-01-02,2,27.9,55.8,Rain
183,2017-01-03,3,27.9,55.8,Rain
184,2017-01-04,4,27.9,55.8,Cloudy
185,2017-01-05,5,27.9,55.8,Cloudy
186,2017-01-06,6,27.9,55.8,Rain
187,2017-01-07,7,27.9,55.8,Rain
188,2017-01-08,8,27.9,55.8,Rain
189,2017-01-09,9,27.9,55.8,Rain
190,2017-01-10,10,27.9,55.8,Rain
191,2017-01-11,11,27.9,55.8,Sunny
192,2017-01-12,12,27.9,55.8,Cloudy
193,2017-01-13,13,27.9,55.8,Cloudy
194,2017-01-14,14,27.9,55.8,Sunny
195,2017-01-15,15,27.9,55.8,Cloudy
196,2017-01-16,16,27.9,55.8,Rain
197,2017-01-17,17,27.9,55.8,Sunny
198,2017-01-18,18,27.9,55.8,Cloudy
199,2017-01-19,19,27.9,55.8,Sunny
200,2017-01-20,20,27.9,55.8,Sunny
201,2017-01-21,21,27.9,55.8,Sunny
202,2017-01-22,22,27.9,55.8,Rain
203,2017-01-23,23,27.9,55.8,Cloudy
204,2017-01-24,24,27.9,55.8,Sunny
205,2017-01-25,25,27.9,55.8,Cloudy
206,2017-01-26,26,27.9,55.8,Cloudy
207,2017-01-27,27,27.9,55.8,Rain
208,2017-01-28,28,27.9,55.8,Sunny
209,2017-01-29,29,27.9,55.8,Cloudy
210,2017-01-30,30,27.9,55.8,Rain
211,2017-01-31,31,27.9,55.8,Cloudy
212,2017-02-01,1,29.8,59.6,Sunny
213,2017-02-02,2,29.8,59.6,Rain
214,2017-02-03,3,29.8,59.6,Rain
215,2017-02-04,4,29.8,59.6,Cloudy
216,2017-02-05,5,29.8,59.6,Cloudy
217,2017-02-06,6,29.8,59.6,Rain
218,2017-02-07,7,29.8,59.6,Sunny
219,2017-02-08,8,29.8,59.6,Sunny
220,2017-02-09,9,29.8,59.6,Sunny
221,2017-02-10,10,29.8,59.6,Sunny
